Sample Date,Acenaphthene,Acenaphthylene,Aluminum,Anthracene,Arsenic,Benz(a)anthracene,Benzo(a)pyrene,Benzo(b)fluoranthene,Benzo(g||h||i)perylene,Benzo(k)fluoranthene,Cadmium,Calcium,Chrysene,Copper,Dibenz(a||h)anthracene,Fluoranthene,Fluorene,Indeno(1||2||3-cd)pyrene,Iron,Lead,Magnesium,Mercury,Naphthalene,Nickel,Phenanthrene,Potassium,Pyrene,Sodium,Zinc
2011-10-06,120.0,130.0,3954600.0,120.0,5000.0,280.0,70.0,150.0,130.0,120.0,625.0,66000000.0,90.0,16800.0,130.0,200.0,150.0,100.0,7037500.0,5010.0,42000000.0,36.5,110.0,18650.0,110.0,,210.0,,50500.0
2012-01-21,120.0,130.0,4506000.0,120.0,5550.0,280.0,70.0,150.0,130.0,120.0,750.0,56000000.0,90.0,17700.0,130.0,200.0,150.0,100.0,8014000.0,6540.0,29000000.0,20.45,110.0,15400.0,110.0,,210.0,,52000.0
2012-03-18,120.0,130.0,6506000.0,120.0,4500.0,280.0,70.0,150.0,130.0,120.0,1045.0,51000000.0,90.0,22300.0,130.0,200.0,150.0,100.0,10522000.0,7533.0,26000000.0,52.0,110.0,23850.0,110.0,,210.0,,68300.0
2012-05-24,120.0,130.0,211200.0,120.0,3650.0,280.0,70.0,150.0,130.0,120.0,205.0,86000000.0,90.0,3900.0,130.0,200.0,150.0,100.0,311050.0,205.0,45000000.0,16.5,110.0,7900.0,110.0,,210.0,,19000.0
2012-11-18,100.0,100.0,1102450.0,100.0,4050.0,100.0,160.0,100.0,100.0,100.0,340.0,63800000.0,100.0,7850.0,100.0,100.0,100.0,100.0,1811000.0,1455.0,42700000.0,29.5,100.0,6950.0,100.0,,100.0,,26000.0
2013-02-20,100.0,100.0,635000.0,100.0,3250.0,100.0,70.0,100.0,100.0,100.0,265.0,66700000.0,100.0,6700.0,100.0,100.0,100.0,100.0,860000.0,1450.0,40700000.0,17.0,100.0,5000.0,100.0,,100.0,,26000.0
2013-03-09,100.0,100.0,1205500.0,100.0,3200.0,100.0,70.0,100.0,100.0,100.0,315.0,41900000.0,100.0,6450.0,100.0,100.0,100.0,100.0,1913500.0,1430.0,22300000.0,40.95,100.0,5050.0,100.0,,100.0,,19000.0
2013-05-23,100.0,100.0,66900.0,100.0,3600.0,100.0,70.0,100.0,100.0,100.0,200.0,94900000.0,100.0,3150.0,100.0,100.0,100.0,100.0,86400.0,85.0,53900000.0,3.9,100.0,6250.0,100.0,,100.0,,19000.0
2014-11-01,240.0,250.0,10508000.0,220.0,7100.0,145.0,100.0,120.0,100.0,160.0,905.0,77100000.0,145.0,26400.0,90.0,160.0,225.0,110.0,13539000.0,11575.0,43700000.0,22.0,295.0,29600.0,210.0,,175.0,,92500.0
2014-12-12,240.0,250.0,40512500.0,220.0,9550.0,145.0,100.0,120.0,100.0,160.0,2480.0,78800000.0,145.0,71650.0,90.0,160.0,225.0,110.0,60017000.0,35030.0,60400000.0,121.95,295.0,116850.0,210.0,,175.0,,222300.0
2015-07-07,240.0,250.0,61500.0,220.0,3500.0,145.0,100.0,120.0,100.0,160.0,175.0,87300000.0,145.0,4050.0,90.0,160.0,225.0,110.0,85550.0,85.0,50500000.0,15.0,295.0,5550.0,210.0,,175.0,,15500.0
2015-09-16,240.0,250.0,2254200.0,220.0,4050.0,145.0,100.0,120.0,100.0,160.0,365.0,67800000.0,145.0,10150.0,90.0,160.0,225.0,110.0,3265000.0,2510.0,39500000.0,7.45,295.0,9850.0,210.0,,175.0,,37500.0
2016-01-06,240.0,250.0,2112500.0,220.0,3250.0,145.0,170.0,120.0,100.0,160.0,255.0,34800000.0,145.0,8250.0,90.0,160.0,225.0,110.0,2932000.0,2044.5,19300000.0,7.5,295.0,7550.0,210.0,9300000.0,175.0,58000000.0,23750.0
2016-02-01,240.0,250.0,4256500.0,220.0,3800.0,145.0,100.0,120.0,100.0,160.0,450.0,48200000.0,145.0,11550.0,90.0,160.0,225.0,110.0,6520000.0,2628.5,26800000.0,11.0,295.0,12550.0,210.0,9400000.0,175.0,65000000.0,32800.0
