Sample Date,Acenaphthene,Acenaphthylene,Aluminum,Anthracene,Arsenic,Benz(a)anthracene,Benzo(a)pyrene,Benzo(b)fluoranthene,Benzo(g||h||i)perylene,Benzo(k)fluoranthene,Cadmium,Calcium,Chrysene,Copper,Dibenz(a||h)anthracene,Fluoranthene,Fluorene,Indeno(1||2||3-cd)pyrene,Iron,Lead,Magnesium,Mercury,Naphthalene,Nickel,Phenanthrene,Potassium,Pyrene,Sodium,Zinc
2011-10-05 10:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-06 10:05:00,120.0,130.0,106300.0,120.0,1500.0,280.0,70.0,150.0,130.0,120.0,101.5,120000000.0,90.0,1600.0,130.0,200.0,150.0,100.0,515000.0,142.5,36000000.0,26.5,110.0,4650.0,110.0,,210.0,,2850.0
2012-01-21 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-21 13:10:00,120.0,130.0,34600.0,120.0,1350.0,280.0,70.0,150.0,130.0,120.0,50.0,120000000.0,90.0,1400.0,130.0,200.0,150.0,100.0,782500.0,75.5,38000000.0,7.5,110.0,4850.0,110.0,,210.0,,2700.0
2012-03-17 08:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-18 08:30:00,120.0,130.0,134800.0,120.0,805.0,280.0,70.0,150.0,130.0,120.0,100.0,100000000.0,90.0,2100.0,130.0,200.0,150.0,100.0,400000.0,228.5,28000000.0,30.0,110.0,4000.0,110.0,,210.0,,4250.0
2012-04-24 10:55:00,120.0,130.0,22100.0,120.0,1700.0,280.0,70.0,150.0,130.0,120.0,40.0,110000000.0,90.0,390.0,130.0,200.0,150.0,100.0,309000.0,45.5,34000000.0,13.0,110.0,2750.0,110.0,,210.0,,2000.0
2012-11-17 09:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-18 09:40:00,100.0,100.0,50850.0,100.0,1300.0,100.0,70.0,100.0,100.0,100.0,55.0,128000000.0,100.0,2700.0,100.0,100.0,100.0,100.0,214800.0,155.0,39200000.0,3.9,100.0,6050.0,100.0,,100.0,,6850.0
2013-03-08 02:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-08 09:45:00,100.0,100.0,272050.0,100.0,850.0,470.0,70.0,300.0,100.0,190.0,65.0,134000000.0,580.0,2750.0,100.0,390.0,100.0,100.0,380000.0,255.0,38200000.0,81.5,100.0,3100.0,100.0,,440.0,,4000.0
2013-04-30 09:40:00,100.0,100.0,25800.0,100.0,575.0,100.0,70.0,100.0,100.0,100.0,30.0,129000000.0,100.0,580.0,100.0,100.0,100.0,100.0,80000.0,42.0,35600000.0,3.9,100.0,995.0,100.0,,100.0,,2250.0
2014-11-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-01 11:10:00,240.0,250.0,412550.0,220.0,1850.0,145.0,100.0,120.0,100.0,160.0,107.0,131000000.0,145.0,4150.0,90.0,160.0,225.0,110.0,637000.0,391.0,37700000.0,3.95,295.0,5400.0,210.0,,175.0,,9100.0
2014-12-02 12:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-03 10:54:00,,,76050.0,,1850.0,,70.0,,,,77.5,127000000.0,,2750.0,,,,,375000.0,128.0,36800000.0,3.9,,6700.0,,,,,3700.0
2014-12-12 01:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-12 12:02:00,240.0,250.0,266250.0,220.0,1500.0,145.0,100.0,120.0,100.0,160.0,125.0,142000000.0,145.0,2300.0,90.0,160.0,225.0,110.0,470000.0,317.0,38400000.0,4.95,295.0,4950.0,210.0,,175.0,,4850.0
2015-04-07 16:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-15 08:30:00,240.0,250.0,120750.0,220.0,850.0,145.0,100.0,120.0,100.0,160.0,40.99999999999999,136000000.0,145.0,1185.0,90.0,160.0,225.0,110.0,215500.0,140.5,35500000.0,3.9,295.0,1650.0,210.0,,175.0,,2150.0
2015-06-23 11:30:00,240.0,250.0,11150.0,220.0,675.0,145.0,100.0,120.0,120.0,160.0,40.99999999999999,144000000.0,145.0,565.0,110.0,160.0,225.0,140.0,58500.0,80.0,38300000.0,13.5,295.0,795.0,210.0,,175.0,,1180.0
2015-06-23 11:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-15 05:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-15 11:00:00,240.0,250.0,22700.0,220.0,1030.0,145.0,100.0,120.0,100.0,160.0,42.5,147000000.0,145.0,765.0,90.0,160.0,225.0,110.0,84750.0,41.5,44000000.0,3.9,295.0,1650.0,210.0,,175.0,,2250.0
2016-01-05 11:40:00,240.0,250.0,34500.0,220.0,1350.0,145.0,193.33333333333334,120.0,100.0,160.0,66.0,136000000.0,145.0,1450.0,90.0,160.0,225.0,110.0,460000.0,78.0,39100000.0,23.5,295.0,7450.0,210.0,13000000.0,175.0,110000000.0,3150.0
2016-01-31 11:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-01 09:55:00,240.0,250.0,951800.0,220.0,2450.0,145.0,100.0,120.0,100.0,160.0,112.0,111000000.0,145.0,4300.0,90.0,160.0,225.0,110.0,1513000.0,500.5,32500000.0,13.5,295.0,11000.0,210.0,13000000.0,175.0,94000000.0,5500.0
2016-03-06 04:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-06 12:30:00,240.0,250.0,2052600.0,220.0,2450.0,145.0,100.0,120.0,100.0,160.0,212.0,111000000.0,145.0,4550.0,90.0,160.0,225.0,110.0,3006500.0,1065.5,33500000.0,20.5,295.0,10700.0,210.0,9100000.0,175.0,79000000.0,10150.0
2016-06-15 09:45:00,240.0,250.0,326400.0,220.0,987.0,145.0,100.0,120.0,100.0,160.0,70.5,156000000.0,145.0,1025.0,90.0,160.0,225.0,110.0,550600.0,280.0,47200000.0,23.0,295.0,2700.0,210.0,4099999.9999999995,175.0,90000000.0,13900.0
2016-10-28 07:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-29 07:42:00,240.0,250.0,406000.0,220.0,1500.0,145.0,100.0,120.0,100.0,160.0,55.5,146000000.0,145.0,1170.0,90.0,160.0,225.0,110.0,602900.0,220.5,44900000.0,23.5,295.0,2900.0,210.0,4400000.0,175.0,83000000.0,4950.0
2016-11-20 23:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-21 10:52:00,240.0,250.0,332500.0,220.0,1150.0,145.0,100.0,120.0,100.0,160.0,120.5,148000000.0,145.0,1010.0,90.0,160.0,225.0,110.0,495000.0,175.5,45300000.0,17.0,295.0,3350.0,210.0,5300000.0,175.0,83000000.0,2845.0
2016-12-15 21:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-16 10:35:00,240.0,250.0,850800.0,220.0,1400.0,145.0,100.0,120.0,100.0,160.0,117.5,128000000.0,145.0,2400.0,90.0,160.0,225.0,110.0,1205000.0,415.5,40400000.0,17.0,295.0,6700.0,210.0,6100000.0,175.0,75000000.0,5000.0
2017-01-19 03:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-19 09:45:00,240.0,250.0,346400.0,220.0,750.0,145.0,100.0,120.0,100.0,160.0,57.0,165000000.0,145.0,1650.0,90.0,160.0,225.0,110.0,554750.0,255.5,50700000.0,17.0,295.0,3050.0,210.0,3600000.0,175.0,100000000.0,3400.0
2017-05-23 11:10:00,240.0,250.0,12650.0,220.0,375.0,145.0,100.0,120.0,100.0,160.0,40.99999999999999,137000000.0,145.0,860.0,90.0,160.0,225.0,110.0,17000.0,31.0,36100000.0,17.0,295.0,890.0,210.0,2800000.0,175.0,61000000.0,4200.0
2018-01-09 11:10:00,1950.0,2050.0,55015500.0,1750.0,14700.0,1000.0,700.0,750.0,550.0,1150.0,1380.0,125000000.0,1000.0,71050.0,450.0,1150.0,1800.0,650.0,60017000.0,75015.5,44100000.0,258.5,2565.0,72600.0,1650.0,22000000.0,1300.0,32000000.0,241050.0
2018-03-02 08:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-03 09:07:00,240.0,250.0,4357500.0,220.0,3100.0,145.0,193.33333333333334,120.0,100.0,160.0,140.5,82900000.0,145.0,8250.0,90.0,160.0,225.0,110.0,6007500.0,5016.0,24100000.0,21.0,295.0,7150.0,210.0,7500000.0,175.0,37000000.0,21600.0
2018-03-10 20:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-11 10:00:00,240.0,250.0,1655500.0,220.0,1675.0,145.0,193.33333333333334,120.0,100.0,160.0,70.5,119000000.0,145.0,3810.0,90.0,160.0,225.0,110.0,2853000.0,1865.5,34000000.0,17.0,295.0,3285.0,210.0,4900000.0,175.0,56000000.0,9500.0
2018-06-21 11:10:00,240.0,250.0,40800.0,220.0,745.0,145.0,100.0,120.0,100.0,160.0,80.0,137000000.0,145.0,600.0,90.0,160.0,225.0,110.0,116500.0,70.5,43100000.0,17.0,295.0,635.0,210.0,2400000.0,175.0,69000000.0,1020.0
