Sample Date,Acenaphthene,Acenaphthylene,Aluminum,Anthracene,Arsenic,Benz(a)anthracene,Benzo(a)pyrene,Benzo(b)fluoranthene,Benzo(g||h||i)perylene,Benzo(k)fluoranthene,Cadmium,Calcium,Chrysene,Copper,Dibenz(a||h)anthracene,Fluoranthene,Fluorene,Indeno(1||2||3-cd)pyrene,Iron,Lead,Magnesium,Mercury,Naphthalene,Nickel,Phenanthrene,Potassium,Pyrene,Sodium,Zinc
2011-10-05 12:20:00,120.0,130.0,1722000.0,120.0,1800.0,280.0,70.0,150.0,130.0,120.0,312.5,15000000.0,90.0,30400.0,130.0,200.0,150.0,100.0,2842500.0,5755.0,3700000.0,36.5,110.0,7600.0,110.0,,210.0,,146000.0
2012-01-21 12:30:00,120.0,130.0,422500.0,120.0,830.0,280.0,130.0,250.0,130.0,120.0,100.0,8400000.0,220.0,13250.0,130.0,380.0,150.0,100.0,724500.0,1635.0,1800000.0,10.5,110.0,2400.0,150.0,,350.0,,49500.0
2012-03-18 08:20:00,120.0,130.0,611500.0,120.0,1035.0,280.0,70.0,150.0,130.0,120.0,135.5,9600000.0,90.0,12100.0,130.0,200.0,150.0,100.0,980000.0,2500.0,2100000.0,35.5,110.0,3200.0,110.0,,210.0,,71500.0
2012-05-24 11:00:00,120.0,130.0,13850.0,120.0,3050.0,280.0,70.0,150.0,130.0,120.0,99.5,96000000.0,90.0,22500.0,130.0,200.0,150.0,100.0,51500.0,113.0,15000000.0,8.5,110.0,5200.0,110.0,,210.0,,5100.0
2012-08-16 10:20:00,,,,,,,,,,,,95000000.0,,144500.0,,,,,,1660.0,29000000.0,,,,,,,,27100.0
2012-11-18 10:00:00,100.0,100.0,3313500.0,100.0,2900.0,100.0,240.0,210.0,180.0,100.0,515.0,25600000.0,180.0,51900.0,100.0,100.0,100.0,120.0,4925000.0,9100.0,7320000.0,52.5,100.0,14000.0,100.0,,100.0,,228500.0
2013-02-20 11:15:00,1000.0,1000.0,2430500.0,1000.0,2550.0,1000.0,70.0,1000.0,1000.0,1000.0,495.0,30200000.0,1000.0,88000.0,1000.0,1000.0,1000.0,1000.0,3565000.0,11280.0,7030000.0,55.0,1000.0,14950.0,1000.0,,1000.0,,345000.0
2013-03-08 10:10:00,100.0,100.0,761500.0,100.0,1070.0,110.0,70.0,160.0,100.0,120.0,130.0,11100000.0,100.0,18000.0,100.0,160.0,100.0,100.0,1079500.0,2105.0,2430000.0,72.0,100.0,4000.0,100.0,,160.0,,85000.0
2013-05-23 11:00:00,100.0,100.0,9950.0,100.0,2950.0,100.0,70.0,100.0,100.0,100.0,125.0,147000000.0,100.0,20500.0,100.0,100.0,100.0,120.0,31000.0,65.0,34200000.0,3.9,100.0,4300.0,100.0,,100.0,,4850.0
2013-08-13 12:40:00,,,,,,,,,,,,142000000.0,,22000.0,,,,,,50.0,16100000.000000002,,,,,,,,5500.0
2014-11-01 00:45:00,240.0,250.0,3947000.0,220.0,2800.0,145.0,100.0,120.0,100.0,160.0,478.0,26900000.0,145.0,44500.0,90.0,160.0,225.0,110.0,5590000.0,9820.0,7270000.0,33.5,295.0,15800.0,210.0,,175.0,,270000.0
2014-12-12 10:50:00,240.0,250.0,5520500.0,220.0,2780.0,145.0,100.0,120.0,100.0,160.0,390.0,14700000.0,145.0,19200.0,90.0,160.0,225.0,110.0,7530500.0,10565.0,5470000.0,18.95,295.0,9885.0,210.0,,175.0,,113350.0
2015-05-15 10:30:00,690.0,700.0,3832500.0,670.0,2500.0,595.0,400.0,570.0,550.0,610.0,496.5,23600000.0,595.0,43500.0,540.0,610.0,675.0,560.0,6115000.0,10745.0,6610000.0,16.95,745.0,13600.0,660.0,,625.0,,260500.0
2015-07-07 11:50:00,240.0,250.0,12350.0,220.0,3250.0,145.0,100.0,120.0,100.0,160.0,170.0,137000000.0,145.0,51000.0,90.0,160.0,225.0,110.0,59500.0,170.0,24800000.0,18.0,295.0,4100.0,210.0,,175.0,,9300.0
2015-08-20 08:10:00,,,,,,,,,,,,92000000.0,,17000.0,,,,,,140.0,31600000.0,,,,,,,,8200.0
2015-09-15 10:30:00,240.0,250.0,2442000.0,220.0,2650.0,145.0,100.0,120.0,100.0,160.0,460.0,32700000.000000004,145.0,37500.0,90.0,160.0,225.0,110.0,3890000.0,5255.0,7430000.0,28.95,295.0,17000.0,210.0,,175.0,,230000.0
2016-01-05 11:05:00,240.0,250.0,1514000.0,220.0,1260.0,145.0,100.0,120.0,100.0,160.0,185.5,12400000.0,145.0,16650.0,90.0,160.0,225.0,110.0,2175000.0,3525.0,3150000.0,34.5,295.0,4300.0,210.0,4300000.0,175.0,7600000.0,94000.0
2016-02-01 10:15:00,440.0,450.0,612500.0,420.0,1040.0,345.0,233.33333333333334,320.0,300.0,360.0,90.5,10400000.0,345.0,11350.0,290.0,360.0,425.0,310.0,1019500.0,1275.0,2350000.0,18.0,495.0,2800.0,410.0,3300000.0,375.0,8199999.999999999,57000.0
2016-06-23 11:00:00,240.0,250.0,120000.0,220.0,4050.0,145.0,100.0,120.0,100.0,160.0,115.0,114000000.0,145.0,44500.0,90.0,160.0,225.0,110.0,58000.0,269.0,25900000.0,13.45,295.0,2450.0,210.0,16000000.0,175.0,230000000.0,8800.0
2016-11-21 08:45:00,1200.0,1250.0,966500.0,1100.0,1650.0,725.0,406.6666666666667,600.0,500.0,800.0,136.0,12300000.0,725.0,24500.0,450.0,800.0,1150.0,550.0,1383500.0,2280.0,2730000.0,18.0,1450.0,5750.0,1050.0,4700000.0,850.0,10000000.0,119500.0
2016-12-16 11:26:00,440.0,450.0,419500.0,420.0,1010.0,345.0,233.33333333333334,320.0,300.0,360.0,92.0,7390000.0,345.0,13750.0,290.0,360.0,425.0,310.0,564000.0,1075.0,1440000.0,23.0,495.0,2500.0,410.0,2600000.0,375.0,5800000.0,56500.0
2017-01-19 10:25:00,1200.0,1250.0,494000.0,1100.0,800.0,725.0,406.6666666666667,600.0,500.0,800.0,75.5,6060000.0,725.0,6000.0,450.0,800.0,1150.0,550.0,711000.0,1138.0,1240000.0,19.0,1450.0,1695.0,1050.0,1600000.0,850.0,4500000.0,41500.0
2017-05-18 11:20:00,240.0,250.0,10300.0,220.0,2300.0,145.0,100.0,120.0,100.0,160.0,64.0,110000000.0,145.0,14500.0,90.0,160.0,225.0,110.0,54500.0,106.5,26700000.0,17.0,295.0,2950.0,210.0,18000000.0,175.0,180000000.0,5200.0
2018-01-10 10:10:00,690.0,700.0,1873000.0,670.0,1800.0,595.0,400.0,570.0,550.0,610.0,274.0,16300000.0,595.0,27050.0,540.0,610.0,675.0,560.0,2738000.0,4470.0,3670000.0,23.5,745.0,7000.0,660.0,5200000.0,625.0,11000000.0,148000.0
2018-03-03 08:39:00,2400.0,2500.0,1620000.0,2200.0,2000.0,1450.0,883.3333333333334,1200.0,1000.0,1600.0,267.0,14800000.0,1450.0,43000.0,900.0,1600.0,2250.0,1100.0,2278500.0,4130.0,3650000.0,17.0,2950.0,7450.0,2100.0,5200000.0,1750.0,12000000.0,147500.0
2018-03-10 17:25:00,1200.0,1250.0,712500.0,1100.0,1145.0,725.0,500.0,600.0,500.0,800.0,100.0,7690000.0,725.0,15050.0,450.0,800.0,1150.0,550.0,964000.0,1350.0,1500000.0,17.0,1450.0,3050.0,1050.0,2700000.0,850.0,4800000.0,66000.0
2018-05-30 11:35:00,240.0,250.0,28000.0,220.0,3450.0,145.0,100.0,135.0,100.0,160.0,240.0,94600000.0,145.0,17500.0,90.0,160.0,225.0,120.0,61000.0,280.0,23600000.0,17.0,295.0,3200.0,210.0,14000000.0,175.0,170000000.0,31000.0
2018-08-21 07:40:00,,,,,,,,,,,,225000000.0,,14000.0,,,,,,240.0,70400000.0,,,,,,,,9300.0
2018-11-22 10:26:00,1200.0,1250.0,2789000.0,1100.0,2750.0,725.0,430.0,600.0,500.0,800.0,500.0,30800000.0,725.0,42000.0,450.0,800.0,1150.0,550.0,4470000.0,6730.0,7550000.0,27.5,1450.0,13250.0,1050.0,12000000.0,850.0,20000000.0,226500.0
2018-11-30 05:55:00,1200.0,1250.0,1916000.0,1100.0,1530.0,725.0,406.6666666666667,600.0,500.0,800.0,181.0,11200000.0,725.0,19550.0,450.0,800.0,1150.0,550.0,2825000.0,3985.0,3090000.0,24.5,1450.0,6000.0,1050.0,4300000.0,850.0,8400000.0,99500.0
2019-01-05 22:15:00,2400.0,2500.0,1968000.0,2200.0,1305.0,1450.0,883.3333333333334,1200.0,1000.0,1600.0,205.5,9190000.0,1450.0,17500.0,900.0,1600.0,2250.0,1100.0,2478500.0,3985.0,2510000.0,24.5,2950.0,4650.0,2100.0,3200000.0,1750.0,4900000.0,110500.0
2019-05-14 12:10:00,1200.0,1250.0,14500.0,1100.0,2050.0,725.0,406.6666666666667,600.0,500.0,800.0,82.5,102000000.0,725.0,8250.0,450.0,800.0,1150.0,550.0,54500.0,130.5,27900000.0,17.0,1450.0,2150.0,1050.0,15000000.0,850.0,170000000.0,6300.0
2019-08-21 07:30:00,,,,,,,,,,,,74200000.0,,3700.0,,,,,,64.0,23700000.0,,,,,,,,3700.0
