Sample Date,Acenaphthene,Acenaphthylene,Aluminum,Anthracene,Arsenic,Benz(a)anthracene,Benzo(a)pyrene,Benzo(b)fluoranthene,Benzo(g||h||i)perylene,Benzo(k)fluoranthene,Cadmium,Calcium,Chrysene,Copper,Dibenz(a||h)anthracene,Fluoranthene,Fluorene,Indeno(1||2||3-cd)pyrene,Iron,Lead,Magnesium,Mercury,Naphthalene,Nickel,Phenanthrene,Potassium,Pyrene,Sodium,Zinc
2011-10-05 07:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-06 08:00:00,120.0,130.0,325500.0,120.0,5800.0,280.0,70.0,150.0,130.0,120.0,225.0,40000000.0,90.0,10250.0,130.0,200.0,150.0,100.0,578000.0,1260.0,11000000.0,32.0,110.0,3600.0,110.0,,210.0,,56500.0
2012-01-21 02:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-21 09:45:00,120.0,130.0,333500.0,120.0,855.0,280.0,70.0,150.0,130.0,120.0,225.0,49000000.0,90.0,7150.0,130.0,200.0,150.0,100.0,564500.0,1285.0,13000000.0,7.0,110.0,2050.0,110.0,,210.0,,38000.0
2012-03-17 06:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-18 08:10:00,120.0,130.0,305000.0,120.0,1400.0,280.0,70.0,150.0,130.0,120.0,275.0,33000000.0,90.0,7100.0,130.0,200.0,150.0,100.0,506000.0,1065.0,8500000.0,33.0,110.0,2800.0,110.0,,210.0,,34500.0
2012-05-22 08:28:00,120.0,130.0,22150.0,120.0,495.0,280.0,70.0,150.0,130.0,120.0,99.5,170000000.0,90.0,2600.0,130.0,200.0,150.0,100.0,55550.0,24.0,51000000.0,12.5,110.0,1400.0,110.0,,210.0,,4850.0
2012-08-15 09:15:00,,,,,,,,,,,,180000000.0,,3800.0,,,,,,195.0,57000000.0,,,,,,,,7150.0
2012-11-17 09:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-18 08:17:00,100.0,100.0,480000.0,100.0,1400.0,100.0,70.0,100.0,100.0,100.0,310.0,35200000.0,100.0,16000.0,100.0,100.0,100.0,100.0,778500.0,1890.0,9250000.0,3.9,100.0,4600.0,100.0,,100.0,,71500.0
2013-02-19 20:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-20 10:15:00,100.0,100.0,239700.0,100.0,1070.0,100.0,70.0,100.0,100.0,100.0,165.0,120000000.0,100.0,7700.0,100.0,100.0,100.0,100.0,358000.0,830.0,33900000.0,16.5,100.0,2700.0,100.0,,100.0,,26000.0
2013-03-07 23:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-08 09:41:00,100.0,100.0,605500.0,100.0,820.0,100.0,70.0,100.0,100.0,100.0,240.0,39000000.0,100.0,8900.0,100.0,100.0,100.0,100.0,861000.0,2055.0,10300000.0,33.95,100.0,2850.0,100.0,,100.0,,45000.0
2013-04-23 08:10:00,100.0,100.0,66050.0,100.0,500.0,100.0,70.0,100.0,100.0,100.0,110.0,170000000.0,100.0,2050.0,100.0,100.0,100.0,100.0,120550.0,197.0,50200000.0,11.0,100.0,1185.0,100.0,,100.0,,6100.0
2013-08-12 13:25:00,,,,,,,,,,,,192000000.0,,2100.0,,,,,,24.0,57300000.0,,,,,,,,5800.0
2014-10-31 23:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-01 11:21:00,240.0,250.0,2061500.0,220.0,3100.0,145.0,100.0,120.0,100.0,160.0,2980.0,95700000.0,145.0,26000.0,90.0,160.0,225.0,110.0,4529000.0,4715.0,23600000.0,17.0,295.0,19400.0,210.0,,175.0,,120500.0
2014-12-02 10:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-03 09:55:00,240.0,250.0,764000.0,220.0,1500.0,145.0,100.0,120.0,100.0,160.0,615.0,38000000.0,145.0,11150.0,90.0,160.0,225.0,110.0,1170500.0,1810.0,9430000.0,3.9,295.0,5050.0,210.0,,175.0,,51500.0
