Sample Date,1-Methylnaphthalene,1||2-Dichlorobenzene,1||2-Diphenylhydrazine,1||2||4-Trichlorobenzene,1||3-Dichlorobenzene,1||4-Dichlorobenzene,2-Chloroethyl vinyl ether,2-Chloronaphthalene,2-Chlorophenol,2-Methylnaphthalene,2-Methylphenol,2-Nitrophenol,2||4-D,2||4-DB,2||4-Dichlorophenol,2||4-Dimethylphenol,2||4-Dinitrophenol,2||4-Dinitrotoluene,2||4||5-T,2||4||5-TP,2||4||5-Trichlorophenol,2||4||6-Trichlorophenol,2||6-Dinitrotoluene,3-/4-Methylphenol,3||3'-Dichlorobenzidine,3||5-Dichlorobenzoic acid,4-Bromophenyl phenyl ether,4-Chloro-3-methylphenol,4-Chlorophenyl phenyl ether,4-Nitrophenol,4||4'-DDD,4||4'-DDE,4||4'-DDT,4||6-Dinitro-2-methylphenol,Acenaphthene,Acenaphthylene,Acifluorfen,Alachlor,Aldrin,Alkalinity as CaCO3,Aluminum,Ammonia as N,Anthracene,Antimony,Arsenic,Atrazine,Azinphos methyl,BOD,Barium,Bentazon,Benz(a)anthracene,Benzidine,Benzo(a)pyrene,Benzo(b)fluoranthene,Benzo(g||h||i)perylene,Benzo(k)fluoranthene,Beryllium,Bis(2-chloroethoxy)methane,Bis(2-chloroethyl)ether,Bis(2-chloroisopropyl)ether,Bis(2-ethylhexyl)adipate,Bis(2-ethylhexyl)phthalate,Bolstar,Bromacil,Butachlor,Butyl benzyl phthalate,COD,Cadmium,Calcium,Captan,Chlordane (technical),Chloride,Chloropropham,Chlorpyrifos,Chromium,Chromium VI,Chrysene,Copper,Coumaphos,Cyanazine,Cyanide,DCPA (Dacthal),DO,Dalapon,Demeton-O,Demeton-S,Di-n-butylphthalate,Di-n-octylphthalate,Diazinon,Dibenz(a||h)anthracene,Dicamba,Dichlorprop,Dichlorvos,Dieldrin,Diesel Range Organics,Diethyl phthalate,Dimethoate,Dimethyl phthalate,Dinoseb,Diphenamid,Dissolved Inorganic Carbon,Dissolved Organic Carbon,Disulfoton,EPTC,Endosulfan I,Endosulfan II,Endosulfan sulfate,Endrin,Endrin aldehyde,Ethoprop,Ethyl parathion,Fensulfothion,Fenthion,Fluoranthene,Fluorene,Fluoride,Gasoline Range Organics,Glyphosate,Hardness as CaCO3,Heptachlor,Heptachlor epoxide,Hexachlorobenzene,Hexachlorobutadiene,Hexachlorocyclopentadiene,Hexachloroethane,Indeno(1||2||3-cd)pyrene,Iron,Isophorone,Lead,MBAS,Magnesium,Malathion,Mercury,Merphos,Methoxychlor,Methyl parathion,Methyl tert-butyl ether (MTBE),Metolachlor,Metribuzin,Mevinphos,Molinate,N-Nitrosodi-N-propylamine,N-Nitrosodimethylamine,N-Nitrosodiphenylamine,Naled,Naphthalene,Nickel,Nitrate + Nitrite as N,Nitrate as N,Nitrobenzene,Oil Range Organics,Oil and Grease,PCB Aroclor 1016,PCB Aroclor 1221,PCB Aroclor 1232,PCB Aroclor 1242,PCB Aroclor 1248,PCB Aroclor 1254,PCB Aroclor 1260,Pentachlorophenol,Perchlorate,Phenanthrene,Phenol,Phenolics,Phorate,Phosphorus as P,Picloram,Potassium,Prometon,Prometryn,Pyrene,Ronnel (Fenchlorphos),Salinity,Selenium,Silver,Simazine,Sodium,Stirophos (Tetrachlorvinphos),Sulfate,TKN,TPH,Terbacil,Thallium,Thiobencarb,Tokuthion,Total Chlorine Residual,Total Dissolved Solids,Total Organic Carbon,Total Suspended Solids,Toxaphene,Trichloronate,Trithion,Volatile Suspended Solids,Zinc,alpha-BHC,alpha-Chlordane,beta-BHC,delta-BHC,gamma-BHC (Lindane),gamma-Chlordane
2011-10-05 09:15:00,,,,,,,610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700.0,,5300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,,,,,,,,,,,,,,,1300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,
2011-10-06 11:05:00,,570.0,250.0,550.0,530.0,550.0,,450.0,6500.0,,3400.0,7100.0,70.0,70.0,5100.0,10000.0,10000.0,180.0,70.0,90.0,2900.0,3000.0,270.0,3000.0,1200.0,90.0,360.0,3700.0,410.0,10000.0,3.0,2.5,3.1,1400.0,1200.0,1300.0,60.0,44.00000000000001,1.5,170000000.0,376500.0,810000.0,1200.0,890.0,2250.0,68.0,5.5,8900000.0,55000.0,110.0,2800.0,3700.0,140.0,1500.0,1300.0,1200.0,88.00000000000001,250.0,270.0,380.0,210.0,2100.0,4.6,76.0,34.0,190.0,70000000.0,165.0,130000000.0,1700.0,80.0,1100000000.0,20.0,6.8999999999999995,1230.0,5.8999999999999995,900.0,7400.0,5.1000000000000005,48.0,,70.0,,100.0,10.0,10.0,270.0,190.0,8.7,1300.0,120.0,80.0,2.9,2.1,,370.0,6.2,8300.0,140.0,48.0,,,10.0,34.0,1.7,1.9,8.0,2.8,3.0,6.7,5.4,2.9,3.8,2000.0,1500.0,380000.0,,13000.0,770000000.0,1.7,1.9,490.0,470.0,1500.0,520.0,1000.0,2412500.0,210.0,2906.5,88000.00000000001,110000000.0,95.0,34.0,5.8,5.4,6.3,,24.0,30.0,4.2,78.0,260.0,140.0,190.0,7.6,1100.0,5750.0,480000.0,,360.0,,,50.0,60.0,150.0,70.0,60.0,40.0,40.0,40.0,950.0,1100.0,3500.0,66000.0,3.0,407000.0,50.0,,48.0,72.00000000000001,2100.0,4.1000000000000005,,375.0,28.5,30.0,,3.1,,2700000.0,,1100.0,14.0,50.0,7.8,,2400000000.0,11000000.0,81000000.0,120.0,6.7,24.0,21000000.0,27700.0,1.8,4.1000000000000005,3.1,2.5,2.1,4.4
2012-01-21 03:30:00,,,,,,,610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700.0,,4470000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,,,,,,,,,,,,,,,1300000.0,,,,,,,,,,,,,,,,,,,,,3800000000.0,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,
2012-01-21 08:45:00,,570.0,250.0,550.0,530.0,550.0,,450.0,650.0,,340.0,710.0,70.0,70.0,510.0,1000.0,1000.0,180.0,70.0,90.0,290.0,300.0,270.0,300.0,1200.0,90.0,360.0,370.0,410.0,1000.0,3.0,2.5,3.1,140.0,120.0,130.0,60.0,22.000000000000004,1.5,230000000.0,254300.0,470000.0,120.0,375.0,1700.0,34.0,5.5,6600000.0,,110.0,280.0,3700.0,70.0,150.0,130.0,120.0,88.00000000000001,250.0,270.0,380.0,100.0,1100.0,4.6,38.0,17.0,180.0,58000000.0,105.5,130000000.0,860.0,80.0,1900000000.0,10.0,8.7,1265.0,5.8999999999999995,90.0,4800.0,5.1000000000000005,24.0,,70.0,,100.0,10.0,10.0,240.0,190.0,5.2,130.0,120.0,80.0,2.9,2.1,,470.0,44.00000000000001,14000.0,140.0,24.0,,,10.0,17.0,1.7,1.9,8.8,2.8,3.0,6.7,5.4,2.9,3.8,200.0,150.0,410000.0,,1800.0,940000000.0,1.7,1.9,490.0,470.0,1500.0,520.0,100.0,1547500.0,210.0,1841.0,160000.0,150000000.0,27.000000000000004,20.0,5.8,5.4,6.3,,12.0,15.0,4.2,39.0,260.0,140.0,190.0,7.6,110.0,5050.0,370000.0,,360.0,,,50.0,60.0,150.0,70.0,60.0,40.0,40.0,40.0,950.0,110.0,350.0,16000.0,3.0,295000.0,50.0,,24.0,36.00000000000001,210.0,4.1000000000000005,,980.0,68.5,15.0,,3.1,,1300000.0,,550.0,11.5,25.0,7.8,,3100000000.0,7700000.0,52000000.0,120.0,6.7,12.0,15000000.0,16800.0,1.8,4.1000000000000005,3.1,2.5,2.1,4.4
2012-03-17 07:30:00,,,,,,,610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700.0,,4860000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,,,,,,,,,,,,,,,1300000.0,,,,,,,,,,,,,,,,,,,,,2200000000.0,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,
2012-03-18 09:12:00,,570.0,250.0,550.0,530.0,550.0,,450.0,650.0,,340.0,710.0,70.0,70.0,510.0,1000.0,1000.0,180.0,70.0,90.0,290.0,300.0,270.0,300.0,1200.0,90.0,360.0,370.0,410.0,1000.0,3.0,2.5,3.1,140.0,120.0,130.0,60.0,22.000000000000004,1.5,200000000.0,178650.0,760000.0,120.0,640.0,1550.0,34.0,5.5,16000000.0,,110.0,280.0,3700.0,230.0,150.0,130.0,120.0,88.00000000000001,250.0,270.0,380.0,490.0,1200.0,4.6,38.0,17.0,180.0,64000000.0,102.5,130000000.0,860.0,80.0,470000000.0,10.0,6.8999999999999995,685.0,5.8999999999999995,90.0,4650.0,5.1000000000000005,24.0,,70.0,,100.0,10.0,10.0,240.0,190.0,5.2,130.0,120.0,80.0,2.9,2.1,,560.0,6.2,11000.0,140.0,24.0,,,10.0,17.0,1.7,1.9,8.0,2.8,3.0,6.7,5.4,2.9,3.8,200.0,150.0,430000.0,,1800.0,570000000.0,1.7,1.9,490.0,470.0,1500.0,520.0,100.0,1010000.0,210.0,941.0,310000.0,63000000.0,7.6,34.0,5.8,5.4,6.3,,12.0,15.0,4.2,39.0,260.0,140.0,190.0,7.6,110.0,5650.0,470000.0,,360.0,,,50.0,60.0,150.0,70.0,60.0,40.0,40.0,100.0,950.0,110.0,350.0,32000.0,3.0,245000.0,50.0,,24.0,36.00000000000001,210.0,4.1000000000000005,,1600.0,28.5,15.0,,3.1,,1700000.0,,550.0,9.4,25.0,7.8,,1400000000.0,19000000.0,39000000.0,120.0,6.7,12.0,12000000.0,16350.0,1.8,4.1000000000000005,3.1,2.5,2.1,4.4
2012-05-24 12:30:00,,570.0,250.0,550.0,530.0,550.0,610.0,450.0,650.0,,340.0,710.0,70.0,70.0,510.0,1000.0,1000.0,180.0,70.0,90.0,290.0,300.0,270.0,300.0,1200.0,90.0,360.0,370.0,410.0,1000.0,3.0,2.5,3.1,140.0,120.0,130.0,60.0,22.000000000000004,1.5,380000000.0,18500.0,680000.0,120.0,200.0,2750.0,34.0,5.5,1600000.0,,110.0,280.0,3700.0,70.0,150.0,130.0,120.0,88.00000000000001,250.0,270.0,380.0,100.0,1100.0,4.6,38.0,17.0,660.0,38000000.0,120.0,250000000.0,860.0,80.0,2400000000.0,10.0,6.8999999999999995,370.0,180.0,90.0,1400.0,5.1000000000000005,24.0,2700.0,70.0,7310000.0,100.0,10.0,10.0,480.0,190.0,5.2,130.0,120.0,80.0,2.9,2.1,,360.0,6.2,14000.0,140.0,24.0,,,10.0,17.0,1.7,1.9,8.0,2.8,3.0,6.7,5.4,2.9,3.8,200.0,150.0,690000.0,,1800.0,1500000000.0,1.7,1.9,490.0,470.0,1500.0,520.0,100.0,950550.0,210.0,162.5,42000.0,210000000.0,7.6,11.5,5.8,5.4,6.3,190.0,12.0,15.0,4.2,39.0,260.0,140.0,190.0,7.6,110.0,7750.0,210000.0,,360.0,,1300000.0,50.0,60.0,150.0,70.0,60.0,40.0,40.0,40.0,950.0,110.0,350.0,25000.0,3.0,370000.0,50.0,,24.0,36.00000000000001,210.0,4.1000000000000005,3200000000.0,1900.0,140.0,15.0,,3.1,,1100000.0,1900000.0,550.0,45.0,25.0,7.8,,4200000000.0,3300000.0,21000000.0,120.0,6.7,12.0,7000000.0,5600.0,1.8,4.1000000000000005,3.1,2.5,2.1,4.4
2012-11-17 10:30:00,,,,,,,610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700.0,,3670000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,,,,,,,,,,,,,,,1300000.0,,,,,,,,,,,,,,,,,,,,,5000000000.0,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,
2012-11-18 08:30:00,100.0,570.0,250.0,550.0,530.0,550.0,,450.0,650.0,100.0,340.0,710.0,70.0,70.0,510.0,1000.0,1000.0,180.0,70.0,90.0,290.0,300.0,270.0,300.0,1200.0,90.0,360.0,370.0,410.0,1000.0,3.0,2.5,3.1,140.0,100.0,100.0,60.0,22.000000000000004,1.5,270000000.0,181700.0,1100000.0,100.0,730.0,1550.0,34.0,5.5,11000000.0,,110.0,100.0,3700.0,70.0,100.0,100.0,100.0,88.00000000000001,250.0,270.0,380.0,100.0,1100.0,4.6,38.0,17.0,220.0,88000000.0,135.0,196000000.0,860.0,80.0,2200000000.0,10.0,27.000000000000004,635.0,5.8999999999999995,100.0,3750.0,5.1000000000000005,24.0,,70.0,,100.0,10.0,10.0,240.0,190.0,5.2,100.0,120.0,80.0,2.9,2.1,,690.0,6.2,9900.0,140.0,24.0,,,10.0,17.0,1.7,1.9,8.0,2.8,3.0,6.7,5.4,2.9,3.8,100.0,100.0,490000.0,,1800.0,1230000000.0,1.7,1.9,490.0,470.0,1500.0,520.0,100.0,1259000.0,210.0,1070.0,250000.0,181000000.0,7.6,3.9,5.8,5.4,6.3,,12.0,15.0,4.2,39.0,260.0,140.0,190.0,7.6,100.0,3600.0,600000.0,,360.0,,,50.0,60.0,150.0,70.0,60.0,40.0,40.0,40.0,1900.0,100.0,350.0,4200.0,3.0,305000.0,50.0,,24.0,36.00000000000001,100.0,4.1000000000000005,,395.0,27.000000000000004,15.0,,3.1,,2500000.0,,550.0,9.000000000000002,25.0,7.8,,4500000000.0,18000000.0,29000000.0,120.0,6.7,12.0,5000000.0,25000.0,1.8,4.1000000000000005,3.1,2.5,2.1,4.4
2013-02-19 21:10:00,,,,,,,610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700.0,,3930000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,,,,,,,,,,,,,,,2200000.0,,,,,,,,,,,,,,,,,,,,,3200000000.0,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,
