Sample Date,Acenaphthene,Acenaphthylene,Aluminum,Anthracene,Arsenic,Benz(a)anthracene,Benzo(a)pyrene,Benzo(b)fluoranthene,Benzo(g||h||i)perylene,Benzo(k)fluoranthene,Cadmium,Calcium,Chrysene,Copper,Dibenz(a||h)anthracene,Fluoranthene,Fluorene,Indeno(1||2||3-cd)pyrene,Iron,Lead,Magnesium,Mercury,Naphthalene,Nickel,Phenanthrene,Potassium,Pyrene,Sodium,Zinc
2011-10-05 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-06 11:05:00,1200.0,1300.0,376500.0,1200.0,2250.0,2800.0,140.0,1500.0,1300.0,1200.0,165.0,130000000.0,900.0,7400.0,1300.0,2000.0,1500.0,1000.0,2412500.0,2906.5,110000000.0,34.0,1100.0,5750.0,1100.0,,2100.0,,27700.0
2012-01-21 03:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-21 08:45:00,120.0,130.0,254300.0,120.0,1700.0,280.0,70.0,150.0,130.0,120.0,105.5,130000000.0,90.0,4800.0,130.0,200.0,150.0,100.0,1547500.0,1841.0,150000000.0,20.0,110.0,5050.0,110.0,,210.0,,16800.0
2012-03-17 07:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-18 09:12:00,120.0,130.0,178650.0,120.0,1550.0,280.0,230.0,150.0,130.0,120.0,102.5,130000000.0,90.0,4650.0,130.0,200.0,150.0,100.0,1010000.0,941.0,63000000.0,34.0,110.0,5650.0,110.0,,210.0,,16350.0
2012-05-24 12:30:00,120.0,130.0,18500.0,120.0,2750.0,280.0,70.0,150.0,130.0,120.0,120.0,250000000.0,90.0,1400.0,130.0,200.0,150.0,100.0,950550.0,162.5,210000000.0,11.5,110.0,7750.0,110.0,,210.0,,5600.0
2012-11-17 10:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-18 08:30:00,100.0,100.0,181700.0,100.0,1550.0,100.0,70.0,100.0,100.0,100.0,135.0,196000000.0,100.0,3750.0,100.0,100.0,100.0,100.0,1259000.0,1070.0,181000000.0,3.9,100.0,3600.0,100.0,,100.0,,25000.0
2013-02-19 21:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-20 10:25:00,100.0,100.0,156500.0,100.0,1700.0,100.0,70.0,100.0,100.0,100.0,125.0,237000000.0,100.0,1625.0,100.0,100.0,100.0,100.0,966500.0,1035.0,175000000.0,15.0,100.0,2600.0,100.0,,100.0,,11700.0
2013-03-07 22:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
