Sample Date,Acenaphthene,Acenaphthylene,Aluminum,Anthracene,Arsenic,Benz(a)anthracene,Benzo(a)pyrene,Benzo(b)fluoranthene,Benzo(g||h||i)perylene,Benzo(k)fluoranthene,Cadmium,Calcium,Chrysene,Copper,Dibenz(a||h)anthracene,Fluoranthene,Fluorene,Indeno(1||2||3-cd)pyrene,Iron,Lead,Magnesium,Mercury,Naphthalene,Nickel,Phenanthrene,Potassium,Pyrene,Sodium,Zinc
2011-10-05 08:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-06 07:50:00,120.0,130.0,5525000.0,120.0,4900.0,280.0,70.0,150.0,130.0,120.0,918.0,57000000.0,90.0,29100.0,130.0,200.0,150.0,100.0,7560000.0,13175.0,16000000.0,42.5,110.0,18000.0,110.0,,210.0,,160500.0
2012-01-21 03:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-21 10:30:00,120.0,130.0,1167500.0,120.0,2100.0,280.0,70.0,150.0,130.0,120.0,230.0,21000000.0,90.0,17500.0,130.0,200.0,150.0,100.0,1640500.0,3190.0,5300000.0,22.5,110.0,5650.0,110.0,,210.0,,52000.0
2012-03-17 08:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-18 08:30:00,120.0,130.0,2416000.0,120.0,2800.0,280.0,70.0,150.0,130.0,120.0,396.0,23000000.0,90.0,15250.0,130.0,200.0,150.0,100.0,3476000.0,4960.0,5100000.0,47.0,110.0,9000.0,110.0,,210.0,,55000.0
2012-08-16 08:10:00,,,,,,,,,,,,60000000.0,,6550.0,,,,,,360.0,21000000.0,,,,,,,,7850.0
2012-11-17 10:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-18 08:43:00,100.0,100.0,8506000.0,100.0,7700.0,100.0,70.0,160.0,110.0,100.0,1420.0,97400000.0,230.0,51650.0,100.0,190.0,100.0,100.0,12130000.0,21100.0,29800000.0,62.0,100.0,28000.0,150.0,,130.0,,271900.0
2013-03-08 01:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-08 10:52:00,100.0,100.0,3267000.0,100.0,2600.0,100.0,70.0,140.0,100.0,100.0,295.0,26300000.0,100.0,12300.0,100.0,150.0,100.0,100.0,3930500.0,5580.0,5280000.0,36.95,100.0,6350.0,100.0,,140.0,,68500.0
2013-08-13 09:55:00,,,,,,,,,,,,55600000.0,,3500.0,,,,,,50.0,23800000.0,,,,,,,,3800.0
2014-11-01 00:20:00,240.0,250.0,4569000.0,220.0,3800.0,145.0,100.0,120.0,100.0,160.0,485.0,41100000.0,145.0,16750.0,90.0,160.0,225.0,110.0,5570000.0,5790.0,11500000.0,17.5,295.0,14550.0,210.0,,175.0,,71000.0
2014-12-12 02:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-12 11:34:00,240.0,250.0,31523500.0,220.0,5350.0,145.0,100.0,120.0,100.0,160.0,2875.0,62600000.0,145.0,51550.0,90.0,160.0,225.0,110.0,36528500.0,39025.0,29900000.0,58.0,295.0,48500.0,210.0,,175.0,,211800.0
2015-05-15 08:35:00,,,8025000.0,,4600.0,,,,,,1020.5,49500000.0,,35050.0,,,,,11565000.0,20720.0,14300000.0,41.5,,20400.0,,,,,235000.0
2015-09-15 04:43:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-15 04:53:00,240.0,250.0,3393500.0,220.0,3150.0,145.0,100.0,120.0,100.0,160.0,455.0,30300000.0,145.0,25500.0,90.0,160.0,225.0,110.0,4248500.0,6340.0,8029999.999999999,27.5,295.0,13550.0,210.0,,175.0,,147000.0
2016-01-05 09:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-06 08:40:00,,,8030000.0,,3900.0,,,,,,670.5,32100000.0,,21500.0,,,,,10538000.0,12075.0,10700000.0,21.5,,14500.0,,11000000.0,,19000000.0,130000.0
2016-01-31 10:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-01 09:45:00,240.0,250.0,1122500.0,220.0,1800.0,145.0,100.0,120.0,100.0,160.0,125.5,22500000.0,145.0,8800.0,90.0,160.0,225.0,110.0,1427500.0,1520.0,4560000.0,18.5,295.0,3750.0,210.0,6500000.0,175.0,16000000.0,33000.0
2016-03-06 01:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-06 04:00:00,240.0,250.0,3521000.0,220.0,2200.0,145.0,100.0,120.0,100.0,160.0,270.5,26700000.0,145.0,10450.0,90.0,160.0,225.0,110.0,4172000.0,4450.0,5740000.0,26.5,295.0,6050.0,210.0,5800000.0,175.0,12000000.0,59550.0
2016-10-28 08:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
