Sample Date,Acenaphthene,Acenaphthylene,Aluminum,Anthracene,Arsenic,Benz(a)anthracene,Benzo(a)pyrene,Benzo(b)fluoranthene,Benzo(g||h||i)perylene,Benzo(k)fluoranthene,Cadmium,Calcium,Chrysene,Copper,Dibenz(a||h)anthracene,Fluoranthene,Fluorene,Indeno(1||2||3-cd)pyrene,Iron,Lead,Magnesium,Mercury,Naphthalene,Nickel,Phenanthrene,Potassium,Pyrene,Sodium,Zinc
2011-10-05 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-06 08:55:00,1200.0,1300.0,1215500.0,1200.0,1225.0,2800.0,140.0,1500.0,1300.0,1200.0,162.5,46000000.0,900.0,12100.0,1300.0,2000.0,1500.0,1000.0,1936000.0,3700.0,11000000.0,31.0,1100.0,5600.0,1100.0,,2100.0,,78000.0
2012-01-21 04:40:00,120.0,130.0,807000.0,120.0,1155.0,280.0,70.0,150.0,130.0,120.0,123.0,78000000.0,90.0,10900.0,130.0,200.0,150.0,100.0,1273000.0,2820.0,21000000.0,26.0,110.0,4400.0,110.0,,210.0,,69500.0
2012-01-21 05:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-17 05:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-17 10:48:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-18 07:35:00,120.0,130.0,767000.0,120.0,1185.0,280.0,70.0,150.0,130.0,120.0,125.5,15000000.0,110.0,9450.0,130.0,200.0,150.0,100.0,981000.0,2525.0,2900000.0,34.5,110.0,3000.0,130.0,,210.0,,40000.0
2012-04-24 09:00:00,120.0,130.0,6350.0,120.0,620.0,280.0,70.0,150.0,130.0,120.0,40.0,180000000.0,90.0,1950.0,130.0,200.0,150.0,100.0,6400.0,40.0,61000000.0,16.0,110.0,1000.0,110.0,,210.0,,4850.0
2012-04-24 09:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-15 07:50:00,,,,,,,,,,,,110000000.0,,1285.0,,,,,,450.5,74000000.0,,,,,,,,7850.0
2012-10-11 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
