Sample Date,Acenaphthene,Acenaphthylene,Aluminum,Anthracene,Arsenic,Benz(a)anthracene,Benzo(a)pyrene,Benzo(b)fluoranthene,Benzo(g||h||i)perylene,Benzo(k)fluoranthene,Cadmium,Calcium,Chrysene,Copper,Dibenz(a||h)anthracene,Fluoranthene,Fluorene,Indeno(1||2||3-cd)pyrene,Iron,Lead,Magnesium,Mercury,Naphthalene,Nickel,Phenanthrene,Potassium,Pyrene,Sodium,Zinc
2011-10-05 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-06 08:30:00,600.0,650.0,1864000.0,600.0,3350.0,1400.0,70.0,750.0,650.0,600.0,1131.0,140000000.0,450.0,43050.0,650.0,1000.0,750.0,500.0,4005000.0,15965.0,18000000.0,39.0,550.0,14100.0,550.0,,1000.0,,145000.0
2012-01-21 04:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-21 11:00:00,120.0,130.0,493000.0,120.0,1445.0,280.0,70.0,150.0,130.0,120.0,230.0,47000000.0,90.0,10650.0,130.0,200.0,150.0,100.0,1020000.0,2620.0,11000000.0,13.0,110.0,3300.0,110.0,,210.0,,38500.0
2012-03-17 07:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-18 09:16:00,120.0,130.0,605500.0,120.0,1850.0,280.0,70.0,150.0,130.0,120.0,205.0,110000000.0,90.0,9050.0,130.0,200.0,150.0,100.0,1124500.0,3175.0,39000000.0,35.5,110.0,5150.0,110.0,,210.0,,30000.0
2012-05-24 09:10:00,120.0,130.0,4550.0,120.0,1250.0,280.0,70.0,150.0,130.0,120.0,170.0,300000000.0,90.0,1400.0,130.0,200.0,150.0,100.0,13050.0,61.5,100000000.0,11.5,110.0,6950.0,110.0,,210.0,,1800.0
2012-08-16 08:55:00,,,,,,,,,,,,300000000.0,,435.0,,,,,,45.0,110000000.0,,,,,,,,1550.0
2012-11-17 11:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-18 09:17:00,100.0,100.0,1602700.0,100.0,3650.0,100.0,70.0,100.0,100.0,100.0,810.0,142000000.0,100.0,28400.0,100.0,100.0,100.0,100.0,3268500.0,8055.0,32299999.999999996,10.95,100.0,13200.0,100.0,,100.0,,102500.0
2013-02-19 20:41:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-20 11:10:00,1000.0,1000.0,1053450.0,1000.0,2650.0,1000.0,70.0,1000.0,1000.0,1000.0,420.0,102000000.0,1000.0,15650.0,1000.0,1000.0,1000.0,1000.0,2064500.0,3710.0,21800000.0,21.5,1000.0,6600.0,1000.0,,1000.0,,69000.0
2013-03-08 00:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-08 10:26:00,100.0,100.0,2154000.0,100.0,2495.0,100.0,70.0,120.0,100.0,100.0,420.0,72000000.0,100.0,16350.0,100.0,110.0,100.0,100.0,3364000.0,9055.0,14500000.0,39.45,100.0,6900.0,100.0,,110.0,,79300.0
2013-05-23 09:00:00,100.0,100.0,3600.0,100.0,1150.0,100.0,70.0,100.0,100.0,100.0,120.0,286000000.0,100.0,490.0,100.0,100.0,100.0,100.0,18550.0,24.0,96600000.0,3.9,100.0,950.0,100.0,,100.0,,1500.0
2013-08-13 10:30:00,,,,,,,,,,,,298000000.0,,500.0,,,,,,24.0,104000000.0,,,,,,,,2600.0
2014-11-01 01:20:00,240.0,250.0,1663000.0,220.0,3800.0,145.0,100.0,120.0,100.0,160.0,700.0,75500000.0,145.0,24700.0,90.0,160.0,225.0,110.0,3100000.0,5950.0,23700000.0,15.5,295.0,15500.0,210.0,,175.0,,126000.0
2014-12-12 03:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-12 12:00:00,240.0,250.0,5516000.0,220.0,3700.0,145.0,100.0,120.0,100.0,160.0,490.0,29000000.0,145.0,21250.0,90.0,160.0,225.0,110.0,8023000.0,13060.0,8530000.0,19.45,295.0,10420.0,210.0,,175.0,,112450.0
2015-05-15 09:10:00,2400.0,2500.0,2106000.0,2200.0,2800.0,1450.0,790.0,1200.0,1000.0,1600.0,481.5,91800000.0,1450.0,22950.0,900.0,1600.0,2250.0,1100.0,3525000.0,5560.0,19700000.0,14.45,2950.0,9100.0,2100.0,,1750.0,,102000.0
2015-07-07 09:20:00,240.0,250.0,4450.0,220.0,1200.0,145.0,100.0,120.0,100.0,160.0,110.0,303000000.0,145.0,565.0,90.0,160.0,225.0,110.0,12050.0,31.0,108000000.0,16.5,295.0,1050.0,210.0,,175.0,,1250.0
2015-08-19 12:30:00,,,,,,,,,,,,294000000.0,,650.0,,,,,,31.0,99900000.0,,,,,,,,980.0
2015-09-15 05:20:00,240.0,250.0,562000.0,220.0,2400.0,145.0,100.0,120.0,100.0,160.0,235.0,45900000.0,145.0,14700.0,90.0,160.0,225.0,110.0,1049500.0,4150.0,14900000.0,9.0,295.0,7600.0,210.0,,175.0,,64000.0
2015-09-15 05:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-05 10:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-06 09:06:00,240.0,250.0,1360000.0,220.0,1900.0,145.0,170.0,120.0,100.0,160.0,280.5,31500000.0,145.0,14150.0,90.0,160.0,225.0,110.0,2216500.0,9135.0,8250000.0,11.95,295.0,4250.0,210.0,3300000.0,175.0,17000000.0,60500.0
2016-01-31 11:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-01 10:15:00,690.0,700.0,2106000.0,670.0,2900.0,595.0,400.0,570.0,550.0,610.0,460.5,74300000.0,595.0,23600.0,540.0,610.0,675.0,560.0,3713000.0,13625.0,13300000.0,22.0,745.0,7300.0,660.0,3900000.0,625.0,23000000.0,131000.0
2016-06-23 08:15:00,240.0,250.0,1700.0,220.0,1850.0,145.0,100.0,120.0,100.0,160.0,71.0,326000000.0,145.0,34500.0,90.0,160.0,225.0,110.0,12400.0,2515.5,155000000.0,13.5,295.0,2200.0,210.0,7300000.0,175.0,320000000.0,2700.0
2016-08-16 14:10:00,,,,,,,,,,,,254000000.0,,620.0,,,,,,31.0,94100000.0,,,,,,,,1300.0
2016-10-28 09:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-28 09:25:00,1200.0,1250.0,3761500.0,1100.0,5000.0,725.0,406.6666666666667,600.0,500.0,800.0,985.0,116000000.0,725.0,39500.0,450.0,800.0,1150.0,550.0,6075000.0,9220.0,23200000.0,99.5,1450.0,17100.0,1050.0,9000000.0,850.0,42000000.0,161500.0
2016-11-20 23:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-21 00:04:00,440.0,450.0,656500.0,420.0,1800.0,345.0,233.33333333333334,320.0,300.0,360.0,172.0,53500000.0,345.0,13550.0,290.0,360.0,425.0,310.0,1218000.0,1845.0,15100000.0,21.0,495.0,4150.0,410.0,4099999.9999999995,375.0,31000000.0,49500.0
2016-12-15 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-16 10:20:00,240.0,250.0,168000.0,220.0,1300.0,145.0,100.0,120.0,100.0,160.0,43.0,33500000.0,145.0,6700.0,90.0,160.0,225.0,110.0,234000.0,740.0,10200000.0,19.5,295.0,2400.0,210.0,2500000.0,175.0,23000000.0,21000.0
2017-05-18 09:15:00,240.0,250.0,2550.0,220.0,1150.0,145.0,100.0,120.0,100.0,160.0,66.5,306000000.0,145.0,875.0,90.0,160.0,225.0,110.0,8500.0,35.5,111000000.0,17.0,295.0,1250.0,210.0,5800000.0,175.0,230000000.0,3450.0
2017-08-03 10:55:00,,,,,,,,,,,,273000000.0,,560.0,,,,,,31.0,98800000.0,,,,,,,,940.0
2018-01-08 19:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09 12:40:00,240.0,250.0,1658500.0,220.0,2650.0,145.0,100.0,120.0,100.0,160.0,305.0,57700000.0,145.0,15500.0,90.0,160.0,225.0,110.0,2588000.0,2670.0,21300000.0,24.5,295.0,7700.0,210.0,7800000.0,175.0,48000000.0,52000.0
2018-03-02 05:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-03 08:50:00,1200.0,1250.0,1705000.0,1100.0,2950.0,725.0,500.0,600.0,500.0,800.0,520.5,68200000.0,725.0,19950.0,450.0,800.0,1150.0,550.0,3259500.0,5525.0,12600000.0,17.5,1450.0,6950.0,1050.0,3700000.0,850.0,24000000.0,77850.0
2018-03-10 18:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-10 18:50:00,1200.0,1250.0,855500.0,1100.0,1500.0,725.0,500.0,600.0,500.0,800.0,155.0,38100000.0,725.0,11450.0,450.0,800.0,1150.0,550.0,1258000.0,2140.0,10000000.0,17.0,1450.0,2950.0,1050.0,2600000.0,850.0,21000000.0,45500.0
2018-05-30 08:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-30 09:00:00,240.0,250.0,3050.0,220.0,1400.0,145.0,100.0,120.0,100.0,160.0,140.0,312000000.0,145.0,735.0,90.0,160.0,225.0,110.0,13000.0,40.5,116000000.0,17.0,295.0,1350.0,210.0,6000000.0,175.0,240000000.0,1650.0
2018-08-21 09:25:00,,,,,,,,,,,,314000000.0,,510.0,,,,,,55.0,103000000.0,,,,,,,,940.0
2018-11-22 01:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-22 01:35:00,1200.0,1250.0,1413000.0,1100.0,3000.0,725.0,430.0,600.0,500.0,800.0,515.0,88100000.0,725.0,20750.0,450.0,800.0,1150.0,550.0,2685000.0,3715.0,20900000.0,17.0,1450.0,9800.0,1050.0,8500000.0,850.0,42000000.0,79500.0
2018-11-29 01:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-30 05:30:00,630.0,650.0,4559500.0,590.0,3150.0,440.0,276.6666666666667,390.0,350.0,470.0,500.5,69500000.0,440.0,25850.0,330.0,470.0,600.0,370.0,7022500.0,12075.0,18500000.0,27.0,740.0,10550.0,570.0,7000000.0,500.0,32000000.0,104300.0
2019-01-05 20:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-05 20:55:00,1200.0,1250.0,5512500.0,1100.0,3450.0,725.0,500.0,600.0,500.0,800.0,570.5,67800000.0,725.0,24800.0,450.0,800.0,1150.0,550.0,7526500.0,15660.0,12800000.0,28.0,1450.0,9750.0,1050.0,6100000.0,850.0,20000000.0,120000.0
2019-05-14 09:40:00,240.0,250.0,4400.0,220.0,1150.0,145.0,100.0,120.0,100.0,160.0,310.0,332000000.0,145.0,950.0,90.0,160.0,225.0,110.0,21000.0,42.5,113000000.0,17.0,295.0,1550.0,210.0,6400000.0,175.0,240000000.0,34500.0
2019-08-21 09:10:00,,,,,,,,,,,,291000000.0,,560.0,,,,,,31.0,114000000.0,,,,,,,,1200.0
