Sample Date,Acenaphthene,Acenaphthylene,Aluminum,Anthracene,Arsenic,Benz(a)anthracene,Benzo(a)pyrene,Benzo(b)fluoranthene,Benzo(g||h||i)perylene,Benzo(k)fluoranthene,Cadmium,Calcium,Chrysene,Copper,Dibenz(a||h)anthracene,Fluoranthene,Fluorene,Indeno(1||2||3-cd)pyrene,Iron,Lead,Magnesium,Mercury,Naphthalene,Nickel,Phenanthrene,Potassium,Pyrene,Sodium,Zinc
2011-10-05 13:20:00,600.0,650.0,1873000.0,600.0,1630.0,1400.0,70.0,750.0,650.0,600.0,515.0,24000000.0,450.0,37000.0,650.0,1000.0,750.0,500.0,3115000.0,18150.0,6200000.0,35.0,550.0,11450.0,550.0,,1000.0,,225000.0
2012-01-21 08:58:00,120.0,130.0,1065000.0,120.0,1500.0,280.0,70.0,350.0,130.0,120.0,295.0,21000000.0,320.0,33000.0,130.0,450.0,150.0,100.0,1692500.0,11100.0,5500000.0,30.0,110.0,6150.0,280.0,,390.0,,133000.0
2012-03-18 07:42:00,240.0,260.0,1017000.0,240.0,1400.0,560.0,70.0,300.0,260.0,240.0,330.0,19000000.0,180.0,21500.0,260.0,400.0,300.0,200.0,1641500.0,10800.0,4500000.0,46.5,220.0,5900.0,220.0,,420.0,,100000.0
2012-11-18 07:54:00,100.0,100.0,2759500.0,100.0,2350.0,100.0,70.0,100.0,100.0,100.0,775.0,58700000.0,100.0,42500.0,100.0,100.0,100.0,100.0,5350000.0,27390.0,17500000.0,54.5,100.0,15500.0,100.0,,100.0,,274000.0
2013-02-20 12:25:00,2000.0,2000.0,3063500.0,2000.0,2400.0,2000.0,81.99999999999999,2600.0,3300.0,2700.0,555.0,29700000.0,2000.0,40500.0,3900.0,2000.0,2000.0,3700.0,4795500.0,14765.0,8020000.0,41.0,2000.0,12300.0,2000.0,,2000.0,,230000.0
2013-03-08 09:17:00,100.0,100.0,1767000.0,100.0,1650.0,100.0,70.0,100.0,100.0,100.0,350.0,21000000.0,100.0,26000.0,100.0,130.0,100.0,100.0,2730000.0,10300.0,5370000.0,44.45,100.0,8850.0,100.0,,120.0,,171500.0
2013-08-13 09:05:00,,,,,,,,,,,,141000000.0,,5100.0,,,,,,40.0,45100000.0,,,,,,,,7300.0
2014-11-01 10:51:00,240.0,250.0,5035500.0,220.0,3500.0,145.0,100.0,120.0,100.0,160.0,1050.0,39100000.0,145.0,60500.0,90.0,160.0,225.0,110.0,8595000.0,41000.0,10800000.0,43.0,295.0,22500.0,210.0,,175.0,,455000.0
2014-12-03 10:18:00,,,1317000.0,,1305.0,,70.0,,,,345.0,14600000.0,,26000.0,,,,,1934000.0,10550.0,3110000.0,16.95,,6200.0,,,,,129500.0
2014-12-12 10:30:00,240.0,250.0,3415000.0,220.0,2325.0,145.0,100.0,120.0,100.0,160.0,485.0,12300000.0,145.0,25650.0,90.0,160.0,225.0,110.0,4627500.0,22200.0,3960000.0,36.45,295.0,7800.0,210.0,,175.0,,151000.0
2015-05-15 08:05:00,2400.0,2500.0,3725500.0,2200.0,2300.0,1450.0,790.0,1200.0,1000.0,1600.0,745.0,24400000.0,1450.0,43000.0,900.0,1600.0,2250.0,1100.0,5590000.0,24350.0,6740000.0,21.5,2950.0,13150.0,2100.0,,1750.0,,264000.0
2015-09-15 03:23:00,430.0,450.0,2555000.0,390.0,2850.0,240.0,143.33333333333334,190.0,150.0,270.0,810.0,53100000.0,240.0,60000.0,130.0,270.0,400.0,170.0,4535000.0,20350.0,11900000.0,36.5,540.0,27500.0,370.0,,300.0,,535000.0
2016-01-05 12:28:00,1950.0,2050.0,2719000.0,1750.0,1605.0,1000.0,583.3333333333334,750.0,550.0,1150.0,392.0,14400000.0,1000.0,23900.0,450.0,1150.0,1800.0,650.0,4135500.0,16975.0,4260000.0,50.0,2500.0,6400.0,1650.0,4400000.0,1300.0,3800000.0,150500.0
2016-02-01 08:25:00,240.0,250.0,1063000.0,220.0,1205.0,145.0,100.0,120.0,155.0,160.0,182.0,11100000.0,145.0,14550.0,185.0,160.0,225.0,320.0,1722000.0,6290.0,2540000.0,18.5,295.0,3550.0,210.0,2900000.0,175.0,4000000.0,80000.0
