Sample Date,Acenaphthene,Acenaphthylene,Aluminum,Anthracene,Arsenic,Benz(a)anthracene,Benzo(a)pyrene,Benzo(b)fluoranthene,Benzo(g||h||i)perylene,Benzo(k)fluoranthene,Cadmium,Calcium,Chrysene,Copper,Dibenz(a||h)anthracene,Fluoranthene,Fluorene,Indeno(1||2||3-cd)pyrene,Iron,Lead,Magnesium,Mercury,Naphthalene,Nickel,Phenanthrene,Potassium,Pyrene,Sodium,Zinc
2011-10-05 10:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-06 09:22:00,1200.0,1300.0,9006000.0,1200.0,6550.0,2800.0,70.0,1500.0,1300.0,1200.0,1122.5,180000000.0,900.0,47600.0,1300.0,2000.0,1500.0,1000.0,15060000.0,11075.0,74000000.0,56.5,1100.0,38300.0,1100.0,,2100.0,,138050.0
2012-01-21 05:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-21 11:30:00,120.0,130.0,960500.0,120.0,1900.0,280.0,70.0,150.0,130.0,120.0,205.0,48000000.0,90.0,11000.0,130.0,200.0,150.0,100.0,1680500.0,1890.0,30000000.0,23.0,110.0,5200.0,110.0,,210.0,,34150.0
2012-03-17 09:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-18 09:52:00,120.0,130.0,2057000.0,120.0,2200.0,280.0,70.0,150.0,130.0,120.0,278.0,37000000.0,90.0,12550.0,130.0,200.0,150.0,100.0,3677500.0,2742.0,21000000.0,42.5,110.0,9600.0,110.0,,210.0,,42800.0
2012-05-24 10:05:00,120.0,130.0,11750.0,120.0,2600.0,280.0,70.0,150.0,130.0,120.0,40.5,110000000.0,90.0,1750.0,130.0,200.0,150.0,100.0,14550.0,25.0,100000000.0,9.5,110.0,3700.0,110.0,,210.0,,2850.0
2012-08-16 09:40:00,,,,,,,,,,,,97000000.0,,620.0,,,,,,20.5,100000000.0,,,,,,,,1700.0
2012-11-17 12:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-18 09:30:00,100.0,100.0,2401700.0,100.0,4000.0,100.0,70.0,100.0,100.0,100.0,315.0,120000000.0,100.0,16400.0,100.0,100.0,100.0,100.0,4182000.0,2860.0,85300000.0,27.0,100.0,11600.0,100.0,,100.0,,41650.0
2013-02-19 21:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-20 11:40:00,1000.0,1000.0,2152450.0,1000.0,3200.0,1000.0,70.0,1000.0,1000.0,1000.0,250.0,111000000.0,1000.0,10400.0,1000.0,1000.0,1000.0,1000.0,3062500.0,2455.5,83400000.0,21.0,1000.0,7850.0,1000.0,,1000.0,,40600.0
2013-03-07 22:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-08 10:18:00,100.0,100.0,2503600.0,100.0,2350.0,100.0,70.0,100.0,100.0,100.0,260.0,61900000.0,100.0,12450.0,100.0,100.0,100.0,100.0,3815500.0,2655.5,40500000.0,38.95,100.0,7850.0,100.0,,100.0,,46200.0
2013-05-23 09:40:00,100.0,100.0,29700.0,100.0,2450.0,100.0,70.0,100.0,100.0,100.0,35.0,110000000.0,100.0,1040.0,100.0,100.0,100.0,100.0,38050.0,50.0,99700000.0,3.9,100.0,1400.0,100.0,,100.0,,2300.0
2013-08-13 11:25:00,,,,,,,,,,,,105000000.0,,600.0,,,,,,24.0,106000000.0,,,,,,,,2400.0
2014-11-01 02:13:00,240.0,250.0,1252650.0,220.0,3700.0,145.0,100.0,120.0,100.0,160.0,197.5,88400000.0,145.0,11300.0,90.0,160.0,225.0,110.0,2343500.0,1345.0,69100000.0,10.0,295.0,10150.0,210.0,,175.0,,33500.0
2014-12-12 03:50:00,240.0,250.0,12509000.0,220.0,4700.0,145.0,100.0,120.0,100.0,160.0,815.0,49800000.0,145.0,21850.0,90.0,160.0,225.0,110.0,20527000.0,10530.0,34500000.0,32.45,295.0,33000.0,210.0,,175.0,,86700.0
2015-05-15 09:41:00,2400.0,2500.0,4952550.0,2200.0,3900.0,1450.0,790.0,1200.0,1000.0,1600.0,460.5,94600000.0,1450.0,17250.0,900.0,1600.0,2250.0,1100.0,7511000.0,4367.0,66300000.0,14.45,2950.0,14750.0,2100.0,,1750.0,,63650.0
2015-07-07 10:20:00,240.0,250.0,9250.0,220.0,3000.0,145.0,100.0,120.0,100.0,160.0,110.0,49700000.0,145.0,1950.0,90.0,160.0,225.0,110.0,64000.0,35.5,19700000.0,15.0,295.0,1800.0,210.0,,175.0,,21500.0
2015-08-19 13:45:00,,,,,,,,,,,,98400000.0,,990.0,,,,,,40.0,101000000.0,,,,,,,,1600.0
2015-09-15 06:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-15 06:30:00,240.0,250.0,9004450.0,220.0,5200.0,145.0,100.0,120.0,100.0,160.0,770.5,102000000.0,145.0,25100.0,90.0,160.0,225.0,110.0,14041000.0,6546.5,67500000.0,34.45,295.0,26250.0,210.0,,175.0,,87750.0
2016-01-05 11:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-06 09:45:00,240.0,250.0,611500.0,220.0,1900.0,145.0,170.0,120.0,100.0,160.0,91.5,36900000.0,145.0,5300.0,90.0,160.0,225.0,110.0,936000.0,648.5,22700000.0,11.0,295.0,3250.0,210.0,3800000.0,175.0,48000000.0,13850.0
2016-01-31 12:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-01 11:00:00,240.0,250.0,2256000.0,220.0,2300.0,145.0,100.0,120.0,100.0,160.0,200.5,49000000.0,145.0,9000.0,90.0,160.0,225.0,110.0,3367000.0,1530.5,35900000.0,17.0,295.0,7700.0,210.0,3600000.0,175.0,51000000.0,27350.0
