"Test Number"|"CAS Number"|"Chemical Name"|"Chemical Grade"|"Chemical Analysis"|"Test Method"|"Chemical Purity Mean Op"|"Chemical Purity Mean(%)"|"Chemical Purity Min Op"|"Chemical Purity Min(%)"|"Chemical Purity Max Op"|"Chemical Purity Max(%)"|"Species Scientific Name"|"Species Group"|"Organism Lifestage"|"Organism Age Mean Op"|"Organism Age Mean"|"Organism Age Min Op"|"Organism Age Min"|"Organism Age Max Op"|"Organism Age Max"|"Age Units"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Standardized)"|"Conc 1 Mean Op (Standardized)"|"Conc 1 Mean (Standardized)"|"Conc 1 Min Op (Standardized)"|"Conc 1 Min (Standardized)"|"Conc 1 Max Op (Standardized)"|"Conc 1 Max (Standardized)"|"Conc 1 Units (Standardized)"|"Conc 2 Type (Standardized)"|"Conc 2 Mean Op (Standardized)"|"Conc 2 Mean (Standardized)"|"Conc 2 Min Op (Standardized)"|"Conc Min 2 (Standardized)"|"Conc 2 Max Op (Standardized)"|"Conc 2 Max (Standardized)"|"Conc 2 Units (Standardized)"|"Conc 3 Type (Standardized)"|"Conc 3 Mean Op (Standardized)"|"Conc 3 Mean (Standardized)"|"Conc 3 Min Op (Standardized)"|"Conc Min 3 (Standardized)"|"Conc 3 Max Op (Standardized)"|"Conc 3 Max (Standardized)"|"Conc 3 Units (Standardized)"|Effect|"Effect Measurement"|Endpoint|"Response Site"|"Observed Duration Mean Op (Days)"|"Observed Duration Mean (Days)"|"Observed Duration Min Op (Days)"|"Observed Duration Min (Days)"|"Observed Duration Max Op (Days)"|"Observed Duration Max (Days)"|"Observed Duration Units (Days)"|"Test Type"|"Temperature Mean Op"|"Temperature Mean"|"Temperature Min Op"|"Temperature Min"|"Temperature Max Op"|"Temperature Max"|"Temperature Units"|"Hardness Mean Op"|"Hardness Mean"|"Hardness Min Op"|"Hardness Min"|"Hardness Max Op"|"Hardness Max"|"Hardness Units"|"Alkalinity Mean Op"|"Alkalinity Mean"|"Alkalinity Min Op"|"Alkalinity Min"|"Alkalinity Max Op"|"Alkalinity Max"|"Alkalinity Units"|"pH Mean Op"|"pH Mean"|"pH Min Op"|"pH Min"|"pH Max Op"|"pH Max"|"Author"|"Reference Number"|"Title"|"Source"|"Publication Year"|
1069656|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Standard|Unmeasured|Not coded|>|99||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||12||NR||NR|Hour(s)|Renewal|Fresh water|Lab|NR|Active ingredient||0.00061||0.00058||0.00064|AI mg/L|||||||||||||||||Reproduction|Reproduction, general|EC50|Not reported||14||NR||NR|Day(s)|Not coded|||||||NR||||320*||340*|mg/L CaCO3|||||||NR||7.6*|||||Maki,A.W., and H.E. Johnson|5525|Effects of PCB (Aroclor 1254) and p,p'-DDT on Production and Survival of Daphnia magna Strauss|Bull. Environ. Contam. Toxicol.13(4): 412-416|1975|
1107245|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Technical grade, technical product, technical formulation|Unmeasured|Not coded||72||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Static|Fresh water|Lab|NR|Active ingredient||0.195||NR||NR|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50|Not reported||1.0833||NR||NR|Day(s)|Not coded||25|||||C||40|||||mg/L CaCO3||0.0|||||mg/L CaCO3||8.12|||||Crosby,D.G., R.K. Tucker, and N. Aharonson|7984|The Detection of Acute Toxicity with Daphnia magna|Food Cosmet. Toxicol.4:503-514|1966|
1133876|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Juvenile||NR||6||24|Hour(s)|Static|Fresh water|Lab|NR|Formulation||0.00068||0.00046||0.001|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50|Not reported||2||NR||NR|Day(s)|Not coded||20.5|||||C||250/||/||/|mg/L CaCO3|||||||NR||/||7.8/||8.2/|Berglind,R., and G. Dave|10871|Acute Toxicity of Chromate, DDT, PCP, TPBS, and Zinc to Daphnia magna Cultured in Hard and Soft Water|Bull. Environ. Contam. Toxicol.33(1): 63-68|1984|
1032903|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Unmeasured|Not coded||25||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported|<|24||NR||NR|Hour(s)|Static|Fresh water|Lab|NR|Formulation||0.0017||0.0015||0.0018|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50|Not reported||2||NR||NR|Day(s)|Not coded||20|||||C||192|||||mg/L CaCO3||138|||||mg/L CaCO3||8.2|||||Randall,W.F., W.H. Dennis, and M.C. Warner|2076|Acute Toxicity of Dechlorinated DDT, Chlordane and Lindane to Bluegill (Lepomis macrochirus) and Daphnia magna|Bull. Environ. Contam. Toxicol.21(6): 849-854|1979|
1133878|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Juvenile||NR||6||24|Hour(s)|Static|Fresh water|Lab|NR|Formulation||0.098||0.075||0.127|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50|Not reported||1||NR||NR|Day(s)|Not coded||20.5|||||C||300/||/||/|mg/L CaCO3|||||||NR||/||8.4/||8.5/|Berglind,R., and G. Dave|10871|Acute Toxicity of Chromate, DDT, PCP, TPBS, and Zinc to Daphnia magna Cultured in Hard and Soft Water|Bull. Environ. Contam. Toxicol.33(1): 63-68|1984|
1133879|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Juvenile||NR||6||24|Hour(s)|Static|Fresh water|Lab|NR|Formulation||0.0013||0.0011||0.0015|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50|Not reported||1||NR||NR|Day(s)|Not coded||20.5|||||C||300/||/||/|mg/L CaCO3|||||||NR||/||8.4/||8.5/|Berglind,R., and G. Dave|10871|Acute Toxicity of Chromate, DDT, PCP, TPBS, and Zinc to Daphnia magna Cultured in Hard and Soft Water|Bull. Environ. Contam. Toxicol.33(1): 63-68|1984|
1089851|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Not reported|Not coded||99||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Larva||1||NR||NR|Instar|Static|Fresh water|Lab|NR|Active ingredient||0.0047||0.0028||0.0056|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50|Not reported||2||NR||NR|Day(s)|Not coded||15|||||C||44|||||mg/L CaCO3|||||||NR||7.1|||||Mayer,F.L.,Jr., and M.R. Ellersieck|6797|Manual of Acute Toxicity: Interpretation and Data Base for 410 Chemicals and 66 Species of Freshwater Animals|USDI Fish and Wildlife Service, Publication No.160, Washington, DC:505 p.|1986|
1133874|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Juvenile||NR||6||24|Hour(s)|Static|Fresh water|Lab|NR|Formulation||0.0011||0.00089||0.0017|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50|Not reported||2||NR||NR|Day(s)|Not coded||20.5|||||C||250/||/||/|mg/L CaCO3|||||||NR||/||7.8/||8.2/|Berglind,R., and G. Dave|10871|Acute Toxicity of Chromate, DDT, PCP, TPBS, and Zinc to Daphnia magna Cultured in Hard and Soft Water|Bull. Environ. Contam. Toxicol.33(1): 63-68|1984|
1040566|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Technical grade, technical product, technical formulation|Unmeasured|Not coded||99||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Juvenile|<|24||NR||NR|Hour(s)|Static|Fresh water|Lab|NR|Active ingredient||0.00151||NR||NR|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50*|Not reported||2||NR||NR|Day(s)|Not coded||25|||||C|||||||NR|||||||NR|||||||Stratton,G.W., and J. Giles|2554|Importance of Bioassay Volume in Toxicity Tests Using Algae and Aquatic Invertebrates|Bull. Environ. Contam. Toxicol.44(2): 420-427|1990|
1107244|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Technical grade, technical product, technical formulation|Unmeasured|Not coded||72||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Static|Fresh water|Lab|NR|Active ingredient||0.0055||NR||NR|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50|Not reported||1.0833||NR||NR|Day(s)|Not coded||21.1|||||C||40|||||mg/L CaCO3||0.0|||||mg/L CaCO3||8.12|||||Crosby,D.G., R.K. Tucker, and N. Aharonson|7984|The Detection of Acute Toxicity with Daphnia magna|Food Cosmet. Toxicol.4:503-514|1966|
1166077|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Adult||NR||NR||NR|Not reported|Static|Fresh water|Lab|NR|Formulation||0.00144||0.00123||0.00168|AI mg/L|||||||||||||||||Intoxication|Immobile|EC50|Not reported||1.0833||NR||NR|Day(s)|Not coded|||||||NR|||||||NR|||||||NR|||||||Boyd,J.E.|14647|The Use of Daphnia magna in the Microbioassay of Insecticides|Ph.D.Thesis, Penn.State University, University Park, PA:194 p.|1957|
