,index,Test Number,CAS Number,Chemical Name,Test Method,Species Scientific Name,Organism Lifestage,Organism Age Mean,Organism Age Min,Organism Age Max,Age Units,Exposure Type,Media Type,Test Location,Number of Doses,Conc 1 Type (Standardized),Conc 1 Mean (Standardized),Conc 1 Min (Standardized),Conc 1 Max (Standardized),Conc 1 Units (Standardized),Effect,Effect Measurement,Endpoint,Observed Duration Mean (Days),Observed Duration Min (Days),Observed Duration Max (Days),Observed Duration Units (Days),Test Type,Temperature Mean,Temperature Min,Temperature Max,Temperature Units,Hardness Mean,Hardness Min,Hardness Max,Hardness Units,pH Mean,pH Min,pH Max,Author,Title,Publication Year
0,417,1286723,1067330,bis(Acetyloxy)dibutylstannane,Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,6,Total,0.17,0.1,0.28,AI mg/L,Mortality,Mortality,LC50,1,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,,,"Kungolos,A., S. Hadjispyrou, P. Samaras, M. Petala, V. Tsiridis, K. Aravossis, and G.P. Sakellaropoulos",Assessment of Toxicity and Bioaccumulation of Organotin Compounds,2001
1,467,1273296,1314983,Zinc sulfide,Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7-19,Total,30000,NR,NR,AI mg/L,Mortality,Mortality,LC50,2,NR,NR,Day(s),Not coded,,,,NR,,,,NR,,7.5,9.1,"Erten-Unal,M., B.G. Wixson, N. Gale, and J.L. Pitt","Evaluation of Toxicity, Bioavailability and Speciation of Lead, Zinc and Cadmium in Mine/Mill Wastewaters",1998
2,468,1118250,1314983,Zinc sulfide,Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Total,30000,NR,NR,AI mg/L,Mortality,Mortality,LC50,2,NR,NR,Day(s),Not coded,,,,NR,,246*,255*,mg/L CaCO3,,7.5,9.1,"Gale,N.L., B.G. Wixson, and M. Erten","An Evaluation of the Acute Toxicity of Lead, Zinc, and Cadmium in Missouri Ozark Groundwater",1992
3,453,2102930,1314132,Zinc oxide (ZnO),Not reported,Daphnia magna,Neonate,24,NR,NR,Hour(s),Aquatic - not reported,Fresh water,Lab,11,Total,2.58,NR,NR,AI mg/L,Mortality,Mortality,LC50,1,NR,NR,Day(s),Not reported,,20*,25*,C,,,,NR,,,,"Naddafi,K., M.R. Zare, and S. Nazmara",Investigating Potential Toxicity of Phenanthrene Adsorbed to Nano-ZnO Using Daphnia magna,2011
4,432,2003806,1314132,Zinc oxide (ZnO),Organization for Economic Cooperation and Development,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,5-6,Total,1,NR,NR,AI mg/L,Intoxication,Immobile,EC50,2,NR,NR,Day(s),Acute,,20.0,21.0,C,,2.02*,2.86*,mmol/L,,7.1,8.7,"Wiench,K., W. Wohlleben, V. Hisgen, K. Radke, E. Salinas, S. Zok, and R. Landsiedel",Acute and Chronic Effects of Nano- and Non-Nano-Scale TiO(2) and ZnO Particles on Mobility and Reproduction of the Freshwater Invertebrate Daphnia magna,2009
5,434,2101676,1314132,Zinc oxide (ZnO),Organization for Economic Cooperation and Development,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Total,0.622,0.411,0.805,AI mg/L,Intoxication,Immobile,EC50,2,NR,NR,Day(s),Acute,23,,,C,,,,NR,,,,"Zhu,X., L. Zhu, Y. Chen, and S. Tian",Acute Toxicities of Six Manufactured Nanomaterial Suspensions to Daphnia magna,2009
6,440,2101677,1314132,Zinc oxide (ZnO),Organization for Economic Cooperation and Development,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Total,0.481,0.301,0.667,AI mg/L,Intoxication,Immobile,EC50,2,NR,NR,Day(s),Acute,23,,,C,,,,NR,,,,"Zhu,X., L. Zhu, Y. Chen, and S. Tian",Acute Toxicities of Six Manufactured Nanomaterial Suspensions to Daphnia magna,2009
7,446,1297119,1314132,Zinc oxide (ZnO),Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,6,Total,2,NR,NR,AI mg/L,Intoxication,Immobile,LC20,2,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,7.3,7.8,"Heinlaan,M., A. Ivask, I. Blinova, H.C. Dubourguier, and A. Kahru","Toxicity of Nanosized and Bulk ZnO, CuO and TiO2 to Bacteria Vibrio fischeri and Crustaceans Daphnia magna and Thamnocephalus platyurus",2008
8,447,1296244,1314132,Zinc oxide (ZnO),Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,8,Total,4.4,NR,NR,AI mg/L,Intoxication,Immobile,LC20,2,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,7.3,7.8,"Heinlaan,M., A. Ivask, I. Blinova, H.C. Dubourguier, and A. Kahru","Toxicity of Nanosized and Bulk ZnO, CuO and TiO2 to Bacteria Vibrio fischeri and Crustaceans Daphnia magna and Thamnocephalus platyurus",2008
9,448,2101676,1314132,Zinc oxide (ZnO),Organization for Economic Cooperation and Development,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Total,1.511,1.12,2.108,AI mg/L,Mortality,Mortality,LC50,2,NR,NR,Day(s),Acute,23,,,C,,,,NR,,,,"Zhu,X., L. Zhu, Y. Chen, and S. Tian",Acute Toxicities of Six Manufactured Nanomaterial Suspensions to Daphnia magna,2009
10,449,1118218,1314132,Zinc oxide (ZnO),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Dissolved,0.098,NR,NR,AI mg/L,Mortality,Mortality,LC50,2,NR,NR,Day(s),Not coded,,,,NR,,246*,255*,mg/L CaCO3,,7.5,9.1,"Gale,N.L., B.G. Wixson, and M. Erten","An Evaluation of the Acute Toxicity of Lead, Zinc, and Cadmium in Missouri Ozark Groundwater",1992
11,450,2102930,1314132,Zinc oxide (ZnO),Not reported,Daphnia magna,Neonate,24,NR,NR,Hour(s),Aquatic - not reported,Fresh water,Lab,11,Total,2.14,NR,NR,AI mg/L,Mortality,Mortality,LC50,2,NR,NR,Day(s),Not reported,,20*,25*,C,,,,NR,,,,"Naddafi,K., M.R. Zare, and S. Nazmara",Investigating Potential Toxicity of Phenanthrene Adsorbed to Nano-ZnO Using Daphnia magna,2011
12,451,1296243,1314132,Zinc oxide (ZnO),Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,8,Total,7.1,NR,NR,AI mg/L,Intoxication,Immobile,LC50,2,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,7.3,7.8,"Heinlaan,M., A. Ivask, I. Blinova, H.C. Dubourguier, and A. Kahru","Toxicity of Nanosized and Bulk ZnO, CuO and TiO2 to Bacteria Vibrio fischeri and Crustaceans Daphnia magna and Thamnocephalus platyurus",2008
13,452,1296249,1314132,Zinc oxide (ZnO),Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,6,Total,2.6,NR,NR,AI mg/L,Intoxication,Immobile,LC50,2,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,7.3,7.8,"Heinlaan,M., A. Ivask, I. Blinova, H.C. Dubourguier, and A. Kahru","Toxicity of Nanosized and Bulk ZnO, CuO and TiO2 to Bacteria Vibrio fischeri and Crustaceans Daphnia magna and Thamnocephalus platyurus",2008
14,454,1118217,1314132,Zinc oxide (ZnO),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Total,24.6,NR,NR,AI mg/L,Mortality,Mortality,LC50,2,NR,NR,Day(s),Not coded,,,,NR,,246*,255*,mg/L CaCO3,,7.5,9.1,"Gale,N.L., B.G. Wixson, and M. Erten","An Evaluation of the Acute Toxicity of Lead, Zinc, and Cadmium in Missouri Ozark Groundwater",1992
15,455,2101677,1314132,Zinc oxide (ZnO),Organization for Economic Cooperation and Development,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Total,1.25,0.985,1.848,AI mg/L,Mortality,Mortality,LC50,2,NR,NR,Day(s),Acute,23,,,C,,,,NR,,,,"Zhu,X., L. Zhu, Y. Chen, and S. Tian",Acute Toxicities of Six Manufactured Nanomaterial Suspensions to Daphnia magna,2009
16,429,2003806,1314132,Zinc oxide (ZnO),Organization for Economic Cooperation and Development,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,5-6,Total,0.6,NR,NR,AI mg/L,Intoxication,Immobile,EC10,2,NR,NR,Day(s),Acute,,20.0,21.0,C,,2.02*,2.86*,mmol/L,,7.1,8.7,"Wiench,K., W. Wohlleben, V. Hisgen, K. Radke, E. Salinas, S. Zok, and R. Landsiedel",Acute and Chronic Effects of Nano- and Non-Nano-Scale TiO(2) and ZnO Particles on Mobility and Reproduction of the Freshwater Invertebrate Daphnia magna,2009
17,1449,1267094,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,7,Total,0.096,NR,NR,AI mg/L,Reproduction,Net Reproductive Rate,EC50,21,NR,NR,Day(s),Not coded,20,,,C,180,,,mg/L,7.8,,,"Muyssen,B.T.A., and C.R. Janssen",Importance of Acclimation to Environmentally Relevant Zinc Concentrations on the Sensitivity of Daphnia magna Toward Zinc,2005
