CAS Number,Chemical Name,Chemical Grade,Chemical Analysis,Chemical Purity,Species Scientific Name,Species Common Name,Species Group,Organism Lifestage,Organism Age,Age Units,Exposure Type,Media Type,Test Location,Number of Doses,Conc 1 Type (Standardized),Conc 1 (Standardized),Conc 1 Units (Standardized),Effect,Effect Measurement,Endpoint,Response Site,Observed Duration (Days),Observed Duration Units (Days),Author,Reference Number,Title,Source,Publication Year,Summary of Additional Parameters
50000,Formaldehyde,Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,NR,Not reported,Static,Fresh water,Lab,NR,Formulation,NR,AI mg/L,Mortality,Mortality,LC50,Not reported,1,Day(s),"Dowden,B.F., and H.J. Bennett",915,Toxicity of Selected Chemicals to Certain Animals,J. Water Pollut. Control Fed.37(9): 1308-1316,1965,Purity:   NR - NR | Organism Age:   NR - NR Not reported | Conc 1 (Author):   Formulation >100 - <1000 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50282,"(17beta)Estra-1,3,5(10)triene-3,17-diol",Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Neonate,<24,Hour(s),Renewal,Fresh water,Lab,6,Formulation,0.648,AI mg/L,Mortality,Mortality,LC50,Not reported,21,Day(s),"Brennan,S.J., C.A. Brougham, J.J. Roche, and A.M. Fogarty",84441,Multi-Generational Effects of Four Selected Environmental Oestrogens on Daphnia magna,Chemosphere64:49-55,2006,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Formulation NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50282,"(17beta)Estra-1,3,5(10)triene-3,17-diol",Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,NR,Not reported,Renewal,Fresh water,Lab,NR,Formulation,2.97,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Hirano,M., H. Ishibashi, N. Matsumura, Y. Nagao, N. Watanabe, A. Watanabe, N. Onikura, K. Kishi, and K. Arizono",94641,"Acute Toxicity Responses of Two Crustaceans, Americamysis bahia and Daphnia magna, to Endocrine Disrupters",J. Health Sci.50(1): 97-100,2004,Purity:   NR - NR | Organism Age:   NR - NR Not reported | Conc 1 (Author):   Formulation 2.76 - 4.11 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Standard,Unmeasured,>99,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,12,Hour(s),Renewal,Fresh water,Lab,NR,Active ingredient,0.00075,AI mg/L,Reproduction,"Reproduction, general",EC50,Not reported,14,Day(s),"Maki,A.W., and H.E. Johnson",5525,"Effects of PCB (Aroclor 1254) and p,p'-DDT on Production and Survival of Daphnia magna Strauss",Bull. Environ. Contam. Toxicol.13(4): 412-416,1975,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Active ingredient 0.00071 - 0.00079 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Standard,Unmeasured,>99,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,12,Hour(s),Renewal,Fresh water,Lab,NR,Active ingredient,0.0005,AI mg/L,Reproduction,"Reproduction, general",EC50,Not reported,14,Day(s),"Maki,A.W., and H.E. Johnson",5525,"Effects of PCB (Aroclor 1254) and p,p'-DDT on Production and Survival of Daphnia magna Strauss",Bull. Environ. Contam. Toxicol.13(4): 412-416,1975,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Active ingredient 0.00048 - 0.00052 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Standard,Unmeasured,>99,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,12,Hour(s),Renewal,Fresh water,Lab,NR,Active ingredient,0.00061,AI mg/L,Reproduction,"Reproduction, general",EC50,Not reported,14,Day(s),"Maki,A.W., and H.E. Johnson",5525,"Effects of PCB (Aroclor 1254) and p,p'-DDT on Production and Survival of Daphnia magna Strauss",Bull. Environ. Contam. Toxicol.13(4): 412-416,1975,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Active ingredient 0.00058 - 0.00064 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Not reported,3,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,NR,Not reported,Not reported,Fresh water,Lab,NR,Formulation,1.085,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Malacea,I.",16933,Contribution to Study of Detox and Heclotox Insecticides Toxic Action on Certain Fish Species and on Daphnia,Stud. Prot. Calitatii Apelor8:95-133,1967,Purity:   NR - NR | Organism Age:   NR - NR Not reported | Conc 1 (Author):   Formulation NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Instar,<20,Hour(s),Static,Fresh water,Lab,NR,Formulation,0.00266,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),Union Carbide Environmental Services,58785,"The Acute Toxicity of Hexachlorocyclopentadiene to the Water Flea, Daphnia magna Straus","Prepared for Velsicol Chemical Corporation, Chicago, Illinois:7 p.",1977,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Formulation 0.00196 - 0.0036 AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Not reported,3,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,NR,Not reported,Not reported,Fresh water,Lab,NR,Formulation,31.25,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Malacea,I.",16933,Contribution to Study of Detox and Heclotox Insecticides Toxic Action on Certain Fish Species and on Daphnia,Stud. Prot. Calitatii Apelor8:95-133,1967,Purity:   NR - NR | Organism Age:   NR - NR Not reported | Conc 1 (Author):   Formulation NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
50293,"1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]",Not reported,Unmeasured,NR,Daphnia magna,Water Flea,Crustaceans; Standard Test Species,Not reported,<24,Hour(s),Static,Fresh water,Lab,NR,Formulation,0.003,AI mg/L,Mortality,Mortality,LC50,Not reported,2,Day(s),"Ziegenfuss,P.S., W.J. Renaudette, and W.J. Adams",7884,Methodology for Assessing the Acute Toxicity of Chemicals Sorbed to Sediments: Testing the Equilibrium Partitioning Theory,ASTM Spec. Tech. Publ.9:479-493,1986,Purity:   NR - NR | Organism Age:   NR - NR Hour(s) | Conc 1 (Author):   Formulation NR - NR AI mg/L | Duration (Days):   NR - NR Day(s) | Conc 2 (Author):   NR (NR - NR) NR | Conc 3 (Author):   NR (NR - NR) NR
