,Effect Measurement,Endpoint,Chemical Name,Conc 1 Mean (Standardized),Conc 1 Units (Standardized)
0,Immobile,EC50*,2-Amino-4-(methylseleno)butanoic acid,0.045,AI mg/L
1,Immobile,EC50*,"3,3'-Diselenobisalanine",0.52,AI mg/L
2,Immobile,EC50,Aluminum hydroxide (Al(OH)3),0.065,AI mg/L
3,Immobile,EC50,Aluminum oxide (Al2O3),114.357,AI mg/L
4,Immobile,EC50,Aluminum oxide (Al2O3),500,AI mg/L
5,Immobile,EC50,Antimony trioxide,3.01,AI mg/L
6,Immobile,EC50,Arsenic oxide (As2O3),2.7,AI mg/L
7,Immobile,EC90,Arsenic oxide (As2O3),3.4,AI mg/L
8,Immobile,EC50,Arsenic oxide (As2O3),2.5,AI mg/L
9,Immobile,EC10,Arsenic oxide (As2O3),2,AI mg/L
10,Immobile,EC90,Arsenic oxide (As2O3),3.8,AI mg/L
11,Immobile,EC10,Arsenic oxide (As2O3),1.9,AI mg/L
12,Immobile,EC50,Barium nitrate,133.8059776,AI mg/L
13,Immobile,EC50,Benzo[a]pyrene,0.0293,AI mg/L
14,Immobile,EC50,Cadmium,0.0135,AI mg/L
15,Immobile,EC50/,Cadmium,0.1312,AI mg/L
16,Immobile,EC50/,Cadmium,0.1399,AI mg/L
17,Immobile,EC50/,Cadmium,0.3263,AI mg/L
18,Immobile,EC50/,Cadmium,0.0491,AI mg/L
19,Immobile,EC50/,Cadmium,0.0244,AI mg/L
20,Immobile,EC50/,Cadmium,0.1294,AI mg/L
21,Immobile,EC50/,Cadmium,0.2288,AI mg/L
22,Immobile,EC50/,Cadmium,0.3553,AI mg/L
23,Immobile,EC50/,Cadmium,0.1467,AI mg/L
24,Immobile,EC50/,Cadmium,0.2501,AI mg/L
25,Immobile,EC50/,Cadmium,0.0254,AI mg/L
26,Immobile,EC50/,Cadmium,0.3193,AI mg/L
27,Immobile,EC50,Cadmium chloride (CdCl2),0.1294,AI mg/L
28,Immobile,EC50,Cadmium chloride (CdCl2),0.3316,AI mg/L
29,Immobile,EC50,Cadmium chloride (CdCl2),0.0201,AI mg/L
30,Immobile,EC50,Cadmium chloride (CdCl2),0.0098,AI mg/L
31,Immobile,LC50,Cadmium chloride (CdCl2),NR,AI mg/L
32,Immobile,EC50,Cadmium chloride (CdCl2),0.0396,AI mg/L
33,Immobile,EC50,Cadmium chloride (CdCl2),0.6319,AI mg/L
34,Immobile,LC50,Cadmium chloride (CdCl2),0.02,AI mg/L
35,Immobile,LC50,Cadmium chloride (CdCl2),NR,AI mg/L
36,Immobile,EC50,Cadmium chloride (CdCl2),NR,AI mg/L
37,Immobile,EC50,Cadmium chloride (CdCl2),37.9,AI mg/L
38,Immobile,LC50,Cadmium chloride (CdCl2),0.12,AI mg/L
39,Immobile,EC50,Cadmium chloride (CdCl2),0.009,AI mg/L
40,Immobile,EC50,Cadmium chloride (CdCl2),0.458,AI mg/L
41,Immobile,EC50,Cadmium chloride (CdCl2),0.00948,AI mg/L
42,Immobile,EC50,Cadmium chloride (CdCl2),0.0271,AI mg/L
43,Immobile,LC50,Cadmium chloride (CdCl2),NR,AI mg/L
44,Immobile,EC50,Cadmium chloride (CdCl2),0.1159,AI mg/L
45,Immobile,EC50,Cadmium chloride (CdCl2),0.463,AI mg/L
46,Immobile,EC50,Cadmium chloride (CdCl2),0.0036,AI mg/L
47,Immobile,EC50,Cadmium chloride (CdCl2),0.0245,AI mg/L
48,Immobile,EC50,Cadmium chloride (CdCl2),0.009,AI mg/L
49,Immobile,EC50,Cadmium chloride (CdCl2),0.0045,AI mg/L
50,Immobile,EC50,Cadmium chloride (CdCl2),0.0353,AI mg/L
51,Immobile,EC50,Chromic acid dipotassium salt,0.72,AI mg/L
52,Immobile,EC50,Chromic acid dipotassium salt,1.45,AI mg/L
53,Immobile,EC50,Chromic acid dipotassium salt,NR,AI mg/L
54,Immobile,EC50,Chromic acid dipotassium salt,0.28,AI mg/L
55,Immobile,EC50,Chromic acid dipotassium salt,1.13,AI mg/L
56,Immobile,EC50,Chromic acid dipotassium salt,NR,AI mg/L
57,Immobile,EC50,Chromic acid dipotassium salt,0.89,AI mg/L
58,Immobile,EC50,Chromic acid dipotassium salt,1.43,AI mg/L
59,Immobile,EC50,Chromic acid dipotassium salt,1.05,AI mg/L
60,Immobile,EC50,Chromic acid dipotassium salt,0.77,AI mg/L
61,Immobile,EC50,Chromic acid dipotassium salt,1.22,AI mg/L
62,Immobile,EC50,Chromic acid dipotassium salt,1.03,AI mg/L
63,Immobile,EC50,Chromic acid dipotassium salt,0.65,AI mg/L
64,Immobile,EC50,Chromic acid dipotassium salt,0.2204,AI mg/L
65,Immobile,EC50,Chromic acid dipotassium salt,1.3,AI mg/L
66,Immobile,EC50,Chromic acid dipotassium salt,1.03,AI mg/L
67,Immobile,EC50,Chromic acid dipotassium salt,0.82,AI mg/L
68,Immobile,EC50,Chromic acid dipotassium salt,0.8,AI mg/L
69,Immobile,EC50,Chromic acid dipotassium salt,1.55,AI mg/L
70,Immobile,EC50,Chromic acid dipotassium salt,NR,AI mg/L
71,Immobile,EC50,Chromic acid dipotassium salt,0.87,AI mg/L
72,Immobile,EC50,Chromic acid dipotassium salt,1.05,AI mg/L
73,Immobile,EC50,Chromic acid dipotassium salt,1.16,AI mg/L
74,Immobile,EC50,Chromic acid dipotassium salt,NR,AI mg/L
75,Immobile,EC50,Chromic acid dipotassium salt,1.17,AI mg/L
76,Immobile,EC50,Chromic acid dipotassium salt,NR,AI mg/L
77,Immobile,EC50,Chromic acid dipotassium salt,0.78,AI mg/L
78,Immobile,EC50,Chromic acid dipotassium salt,1.16,AI mg/L
79,Immobile,EC50,Chromic acid dipotassium salt,NR,AI mg/L
80,Immobile,EC50,Chromic acid dipotassium salt,1.44,AI mg/L
81,Immobile,EC50,Chromic acid dipotassium salt,0.92,AI mg/L
82,Immobile,EC50,Chromic acid dipotassium salt,46.8,AI mg/L
83,Immobile,EC50,Chromic acid dipotassium salt,1.41,AI mg/L
84,Immobile,EC50,Chromic acid dipotassium salt,1.05,AI mg/L
85,Immobile,EC50,Chromic acid dipotassium salt,0.98,AI mg/L
86,Immobile,LC50,Chromic acid dipotassium salt,NR,AI mg/L
87,Immobile,EC50,Chromic acid dipotassium salt,1.22,AI mg/L
88,Immobile,EC50,Chromic acid dipotassium salt,0.2621,AI mg/L
89,Immobile,EC50,Chromic acid dipotassium salt,1.48,AI mg/L
90,Immobile,EC50,Chromic acid dipotassium salt,1.3,AI mg/L
91,Immobile,EC50,Chromic acid dipotassium salt,0.1949,AI mg/L
92,Immobile,EC50,Chromic acid dipotassium salt,0.82,AI mg/L
93,Immobile,EC50,Chromic acid dipotassium salt,0.6,AI mg/L
94,Immobile,EC50,Chromic acid dipotassium salt,0.2291,AI mg/L
95,Immobile,EC50,Chromic acid dipotassium salt,0.1004,AI mg/L
96,Immobile,EC50,Chromic acid dipotassium salt,0.92,AI mg/L
97,Immobile,EC50,Chromic acid dipotassium salt,1.07,AI mg/L
98,Immobile,EC50,Chromic acid dipotassium salt,0.61,AI mg/L
99,Immobile,EC50,Chromic acid dipotassium salt,0.85,AI mg/L
100,Immobile,EC50,Chromic acid dipotassium salt,0.85,AI mg/L
101,Immobile,EC50,Chromic acid dipotassium salt,1.15,AI mg/L
102,Immobile,EC50,Chromic acid dipotassium salt,0.2297,AI mg/L
103,Immobile,EC50,Chromic acid dipotassium salt,0.65,AI mg/L
104,Immobile,EC50,Chromic acid dipotassium salt,0.187,AI mg/L
105,Immobile,EC50,Chromic acid dipotassium salt,1.13,AI mg/L
106,Immobile,EC50,Chromic acid dipotassium salt,1.61,AI mg/L
107,Immobile,EC50,Chromic acid dipotassium salt,1.03,AI mg/L
108,Immobile,EC50,Chromic acid dipotassium salt,1,AI mg/L
109,Immobile,EC50,Chromic acid dipotassium salt,1,AI mg/L
110,Immobile,EC50,Chromic acid dipotassium salt,0.188,AI mg/L
