,index,Test Number,CAS Number,Chemical Name,Test Method,Species Scientific Name,Organism Lifestage,Organism Age Mean,Organism Age Min,Organism Age Max,Age Units,Exposure Type,Media Type,Test Location,Number of Doses,Conc 1 Type (Standardized),Conc 1 Mean (Standardized),Conc 1 Min (Standardized),Conc 1 Max (Standardized),Conc 1 Units (Standardized),Effect,Effect Measurement,Endpoint,Observed Duration Mean (Days),Observed Duration Min (Days),Observed Duration Max (Days),Observed Duration Units (Days),Test Type,Temperature Mean,Temperature Min,Temperature Max,Temperature Units,Hardness Mean,Hardness Min,Hardness Max,Hardness Units,pH Mean,pH Min,pH Max,Author,Title,Publication Year
4,432,2003806,1314132,Zinc oxide (ZnO),Organization for Economic Cooperation and Development,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,5-6,Total,1,NR,NR,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Acute,,20.0,21.0,C,,2.02*,2.86*,mmol/L,,7.1,8.7,"Wiench,K., W. Wohlleben, V. Hisgen, K. Radke, E. Salinas, S. Zok, and R. Landsiedel",Acute and Chronic Effects of Nano- and Non-Nano-Scale TiO(2) and ZnO Particles on Mobility and Reproduction of the Freshwater Invertebrate Daphnia magna,2009
5,434,2101676,1314132,Zinc oxide (ZnO),Organization for Economic Cooperation and Development,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Total,0.622,0.411,0.805,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Acute,23,,,C,,,,NR,,,,"Zhu,X., L. Zhu, Y. Chen, and S. Tian",Acute Toxicities of Six Manufactured Nanomaterial Suspensions to Daphnia magna,2009
6,440,2101677,1314132,Zinc oxide (ZnO),Organization for Economic Cooperation and Development,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Total,0.481,0.301,0.667,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Acute,23,,,C,,,,NR,,,,"Zhu,X., L. Zhu, Y. Chen, and S. Tian",Acute Toxicities of Six Manufactured Nanomaterial Suspensions to Daphnia magna,2009
7,446,1297119,1314132,Zinc oxide (ZnO),Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,6,Total,2,NR,NR,AI mg/L,Intoxication,Immobile,LC20,2.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,7.3,7.8,"Heinlaan,M., A. Ivask, I. Blinova, H.C. Dubourguier, and A. Kahru","Toxicity of Nanosized and Bulk ZnO, CuO and TiO2 to Bacteria Vibrio fischeri and Crustaceans Daphnia magna and Thamnocephalus platyurus",2008
8,447,1296244,1314132,Zinc oxide (ZnO),Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,8,Total,4.4,NR,NR,AI mg/L,Intoxication,Immobile,LC20,2.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,7.3,7.8,"Heinlaan,M., A. Ivask, I. Blinova, H.C. Dubourguier, and A. Kahru","Toxicity of Nanosized and Bulk ZnO, CuO and TiO2 to Bacteria Vibrio fischeri and Crustaceans Daphnia magna and Thamnocephalus platyurus",2008
12,451,1296243,1314132,Zinc oxide (ZnO),Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,8,Total,7.1,NR,NR,AI mg/L,Intoxication,Immobile,LC50,2.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,7.3,7.8,"Heinlaan,M., A. Ivask, I. Blinova, H.C. Dubourguier, and A. Kahru","Toxicity of Nanosized and Bulk ZnO, CuO and TiO2 to Bacteria Vibrio fischeri and Crustaceans Daphnia magna and Thamnocephalus platyurus",2008
13,452,1296249,1314132,Zinc oxide (ZnO),Not coded,Daphnia magna,Neonate,NR,NR,NR,Not reported,Static,Fresh water,Lab,6,Total,2.6,NR,NR,AI mg/L,Intoxication,Immobile,LC50,2.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,7.3,7.8,"Heinlaan,M., A. Ivask, I. Blinova, H.C. Dubourguier, and A. Kahru","Toxicity of Nanosized and Bulk ZnO, CuO and TiO2 to Bacteria Vibrio fischeri and Crustaceans Daphnia magna and Thamnocephalus platyurus",2008
16,429,2003806,1314132,Zinc oxide (ZnO),Organization for Economic Cooperation and Development,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,5-6,Total,0.6,NR,NR,AI mg/L,Intoxication,Immobile,EC10,2.0,NR,NR,Day(s),Acute,,20.0,21.0,C,,2.02*,2.86*,mmol/L,,7.1,8.7,"Wiench,K., W. Wohlleben, V. Hisgen, K. Radke, E. Salinas, S. Zok, and R. Landsiedel",Acute and Chronic Effects of Nano- and Non-Nano-Scale TiO(2) and ZnO Particles on Mobility and Reproduction of the Freshwater Invertebrate Daphnia magna,2009
32,1468,1081707,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,NR,6,24,Hour(s),Static,Fresh water,Lab,NR,Total,93.8,9.9,151.4,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,20,,,C,,,,SOFT,,,,"Hickey,C.W., and M.L. Vickers",Comparison of the Sensitivity to Heavy Metals and Pentachlorophenol of the Mayflies Deleatidium spp. and the Cladoceran Daphnia magna,1992
35,1477,1267060,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,2,Total,NR,0.6,0.8,AI mg/L,Intoxication,Immobile,EC50,2.0,NR,NR,Day(s),Not coded,20,,,C,180,,,mg/L,7.8,,,"Muyssen,B.T.A., and C.R. Janssen",Importance of Acclimation to Environmentally Relevant Zinc Concentrations on the Sensitivity of Daphnia magna Toward Zinc,2005
