,index,Test Number,CAS Number,Chemical Name,Test Method,Species Scientific Name,Organism Lifestage,Organism Age Mean,Organism Age Min,Organism Age Max,Age Units,Exposure Type,Media Type,Test Location,Number of Doses,Conc 1 Type (Standardized),Conc 1 Mean (Standardized),Conc 1 Min (Standardized),Conc 1 Max (Standardized),Conc 1 Units (Standardized),Effect,Effect Measurement,Endpoint,Observed Duration Mean (Days),Observed Duration Min (Days),Observed Duration Max (Days),Observed Duration Units (Days),Test Type,Temperature Mean,Temperature Min,Temperature Max,Temperature Units,Hardness Mean,Hardness Min,Hardness Max,Hardness Units,pH Mean,pH Min,pH Max,Author,Title,Publication Year
0,417,1286723,1067330,bis(Acetyloxy)dibutylstannane,Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,6,Total,0.17,0.1,0.28,AI mg/L,Mortality,Mortality,LC50,1.0,NR,NR,Day(s),Not coded,20,,,C,,,,NR,,,,"Kungolos,A., S. Hadjispyrou, P. Samaras, M. Petala, V. Tsiridis, K. Aravossis, and G.P. Sakellaropoulos",Assessment of Toxicity and Bioaccumulation of Organotin Compounds,2001
1,467,1273296,1314983,Zinc sulfide,Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7-19,Total,30000,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,,,,NR,,,,NR,,7.5,9.1,"Erten-Unal,M., B.G. Wixson, N. Gale, and J.L. Pitt","Evaluation of Toxicity, Bioavailability and Speciation of Lead, Zinc and Cadmium in Mine/Mill Wastewaters",1998
2,468,1118250,1314983,Zinc sulfide,Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Total,30000,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,,,,NR,,246*,255*,mg/L CaCO3,,7.5,9.1,"Gale,N.L., B.G. Wixson, and M. Erten","An Evaluation of the Acute Toxicity of Lead, Zinc, and Cadmium in Missouri Ozark Groundwater",1992
3,453,2102930,1314132,Zinc oxide (ZnO),Not reported,Daphnia magna,Neonate,24,NR,NR,Hour(s),Aquatic - not reported,Fresh water,Lab,11,Total,2.58,NR,NR,AI mg/L,Mortality,Mortality,LC50,1.0,NR,NR,Day(s),Not reported,,20*,25*,C,,,,NR,,,,"Naddafi,K., M.R. Zare, and S. Nazmara",Investigating Potential Toxicity of Phenanthrene Adsorbed to Nano-ZnO Using Daphnia magna,2011
9,448,2101676,1314132,Zinc oxide (ZnO),Organization for Economic Cooperation and Development,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Total,1.511,1.12,2.108,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Acute,23,,,C,,,,NR,,,,"Zhu,X., L. Zhu, Y. Chen, and S. Tian",Acute Toxicities of Six Manufactured Nanomaterial Suspensions to Daphnia magna,2009
10,449,1118218,1314132,Zinc oxide (ZnO),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Dissolved,0.098,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,,,,NR,,246*,255*,mg/L CaCO3,,7.5,9.1,"Gale,N.L., B.G. Wixson, and M. Erten","An Evaluation of the Acute Toxicity of Lead, Zinc, and Cadmium in Missouri Ozark Groundwater",1992
11,450,2102930,1314132,Zinc oxide (ZnO),Not reported,Daphnia magna,Neonate,24,NR,NR,Hour(s),Aquatic - not reported,Fresh water,Lab,11,Total,2.14,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not reported,,20*,25*,C,,,,NR,,,,"Naddafi,K., M.R. Zare, and S. Nazmara",Investigating Potential Toxicity of Phenanthrene Adsorbed to Nano-ZnO Using Daphnia magna,2011
14,454,1118217,1314132,Zinc oxide (ZnO),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,NR,Total,24.6,NR,NR,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Not coded,,,,NR,,246*,255*,mg/L CaCO3,,7.5,9.1,"Gale,N.L., B.G. Wixson, and M. Erten","An Evaluation of the Acute Toxicity of Lead, Zinc, and Cadmium in Missouri Ozark Groundwater",1992
15,455,2101677,1314132,Zinc oxide (ZnO),Organization for Economic Cooperation and Development,Daphnia magna,Neonate,24,NR,NR,Hour(s),Static,Fresh water,Lab,7,Total,1.25,0.985,1.848,AI mg/L,Mortality,Mortality,LC50,2.0,NR,NR,Day(s),Acute,23,,,C,,,,NR,,,,"Zhu,X., L. Zhu, Y. Chen, and S. Tian",Acute Toxicities of Six Manufactured Nanomaterial Suspensions to Daphnia magna,2009
18,1553,1223013,7646857,Zinc chloride (ZnCl2),Not coded,Daphnia magna,Neonate,24,NR,NR,Hour(s),Renewal,Fresh water,Lab,NR,Dissolved,0.84,0.75,0.93,AI mg/L,Mortality,Mortality,LC50,21.0,NR,NR,Day(s),Not coded,20,,,C,225,,,mg/L CaCO3,8.1,,,"Enserink,E.L., J.L. Maas-Diepeveen, and C.J. Van Leeuwen",Combined Effects of Metals:  An Ecotoxicological Evaluation,1991
