Sample Date,1-Methylnaphthalene,1||2-Dichlorobenzene,1||2-Diphenylhydrazine,1||2||4-Trichlorobenzene,1||3-Dichlorobenzene,1||4-Dichlorobenzene,2-Chloroethyl vinyl ether,2-Chloronaphthalene,2-Chlorophenol,2-Methylnaphthalene,2-Methylphenol,2-Nitrophenol,2||4-D,2||4-DB,2||4-Dichlorophenol,2||4-Dimethylphenol,2||4-Dinitrophenol,2||4-Dinitrotoluene,2||4||5-T,2||4||5-TP,2||4||5-Trichlorophenol,2||4||6-Trichlorophenol,2||6-Dinitrotoluene,3-/4-Methylphenol,3||3'-Dichlorobenzidine,3||5-Dichlorobenzoic acid,4-Bromophenyl phenyl ether,4-Chloro-3-methylphenol,4-Chlorophenyl phenyl ether,4-Nitrophenol,4||4'-DDD,4||4'-DDE,4||4'-DDT,4||6-Dinitro-2-methylphenol,Acenaphthene,Acenaphthylene,Acifluorfen,Alachlor,Aldrin,Alkalinity as CaCO3,Aluminum,Ammonia as N,Anthracene,Antimony,Arsenic,Atrazine,Azinphos methyl,BOD,Barium,Bentazon,Benz(a)anthracene,Benzidine,Benzo(a)pyrene,Benzo(b)fluoranthene,Benzo(g||h||i)perylene,Benzo(k)fluoranthene,Beryllium,Bis(2-chloroethoxy)methane,Bis(2-chloroethyl)ether,Bis(2-chloroisopropyl)ether,Bis(2-ethylhexyl)adipate,Bis(2-ethylhexyl)phthalate,Bolstar,Bromacil,Butachlor,Butyl benzyl phthalate,COD,Cadmium,Calcium,Captan,Chlordane (technical),Chloride,Chloropropham,Chlorpyrifos,Chromium,Chromium VI,Chrysene,Copper,Coumaphos,Cyanazine,Cyanide,DCPA (Dacthal),DO,Dalapon,Demeton-O,Demeton-S,Di-n-butylphthalate,Di-n-octylphthalate,Diazinon,Dibenz(a||h)anthracene,Dicamba,Dichlorprop,Dichlorvos,Dieldrin,Diesel Range Organics,Diethyl phthalate,Dimethoate,Dimethyl phthalate,Dinoseb,Diphenamid,Dissolved Inorganic Carbon,Dissolved Organic Carbon,Disulfoton,EPTC,Endosulfan I,Endosulfan II,Endosulfan sulfate,Endrin,Endrin aldehyde,Ethoprop,Ethyl parathion,Fensulfothion,Fenthion,Fluoranthene,Fluorene,Fluoride,Gasoline Range Organics,Glyphosate,Hardness as CaCO3,Heptachlor,Heptachlor epoxide,Hexachlorobenzene,Hexachlorobutadiene,Hexachlorocyclopentadiene,Hexachloroethane,Indeno(1||2||3-cd)pyrene,Iron,Isophorone,Lead,MBAS,Magnesium,Malathion,Mercury,Merphos,Methoxychlor,Methyl parathion,Methyl tert-butyl ether (MTBE),Metolachlor,Metribuzin,Mevinphos,Molinate,N-Nitrosodi-N-propylamine,N-Nitrosodimethylamine,N-Nitrosodiphenylamine,Naled,Naphthalene,Nickel,Nitrate + Nitrite as N,Nitrobenzene,Oil Range Organics,Oil and Grease,PCB Aroclor 1016,PCB Aroclor 1221,PCB Aroclor 1232,PCB Aroclor 1242,PCB Aroclor 1248,PCB Aroclor 1254,PCB Aroclor 1260,Pentachlorophenol,Perchlorate,Phenanthrene,Phenol,Phenolics,Phorate,Phosphorus as P,Picloram,Potassium,Prometon,Prometryn,Pyrene,Ronnel (Fenchlorphos),Salinity,Selenium,Silver,Simazine,Sodium,Stirophos (Tetrachlorvinphos),Sulfate,TKN,TPH,Terbacil,Thallium,Thiobencarb,Tokuthion,Total Chlorine Residual,Total Dissolved Solids,Total Organic Carbon,Total Suspended Solids,Toxaphene,Trichloronate,Trithion,Volatile Suspended Solids,Zinc,alpha-BHC,alpha-Chlordane,beta-BHC,delta-BHC,gamma-BHC (Lindane),gamma-Chlordane
2011-10-05 08:30:00,,,,,,,610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700.0,,6760000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,,,,,,,,,,,,,,1300000.0,,,,,,,,,,,,,,,,,,,,,200000000.0,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,
2011-10-06 07:50:00,,570.0,250.0,550.0,530.0,550.0,,450.0,650.0,,340.0,710.0,70.0,70.0,510.0,1000.0,1000.0,180.0,70.0,90.0,290.0,300.0,270.0,430.0,1200.0,90.0,360.0,370.0,410.0,1000.0,3.0,15.0,8.6,140.0,120.0,130.0,60.0,22.000000000000004,1.5,76000000.0,5525000.0,1300000.0,120.0,840.0,4900.0,34.0,5.5,15000000.0,,110.0,280.0,3700.0,70.0,150.0,130.0,120.0,364.0,250.0,270.0,380.0,100.0,1100.0,4.6,270000.0,17.0,190.0,210000000.0,918.0,57000000.0,860.0,80.0,40000000.0,10.0,6.8999999999999995,11870.0,420.0,90.0,29100.0,5.1000000000000005,24.0,,520.0,,100.0,10.0,10.0,240.0,190.0,5.2,130.0,120.0,80.0,2.9,2.1,,3100.0,6.2,180.0,140.0,24.0,,,10.0,17.0,1.7,1.9,8.0,2.8,3.0,6.7,5.4,2.9,3.8,200.0,150.0,260000.0,,66000.0,210000000.0,1.7,1.9,490.0,470.0,1500.0,520.0,100.0,7560000.0,210.0,13175.0,270000.0,16000000.0,7.6,42.5,5.8,5.4,6.3,,12.0,15.0,4.2,39.0,260.0,140.0,190.0,7.6,110.0,18000.0,4000000.0,360.0,,,50.0,60.0,150.0,70.0,60.0,40.0,40.0,1200.0,950.0,110.0,350.0,96999.99999999999,3.0,1270000.0,50.0,,24.0,36.00000000000001,210.0,4.1000000000000005,,885.0,128.5,15.0,,3.1,,7800000.0,,550.0,114.5,25.0,7.8,,240000000.0,28000000.0,600000000.0,120.0,6.7,12.0,100000000.0,160500.0,1.8,4.1000000000000005,3.1,2.5,2.1,4.4
2012-01-21 03:45:00,,,,,,,610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700.0,,11900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,,,,,,,,,,,,,,1300000.0,,,,,,,,,,,,,,,,,,,,,100000000.0,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,
2012-01-21 10:30:00,,570.0,250.0,550.0,530.0,550.0,,450.0,650.0,,340.0,710.0,70.0,70.0,510.0,1000.0,1000.0,180.0,70.0,90.0,290.0,300.0,270.0,390.0,1200.0,90.0,360.0,370.0,410.0,1000.0,3.0,16.0,10.0,140.0,120.0,130.0,60.0,22.000000000000004,46.0,66000000.0,1167500.0,820000.0,120.0,815.0,2100.0,34.0,5.5,21000000.0,,110.0,280.0,3700.0,70.0,150.0,130.0,120.0,109.0,250.0,270.0,380.0,100.0,2500.0,4.6,38.0,17.0,180.0,130000000.0,230.0,21000000.0,860.0,80.0,24000000.0,10.0,6.8999999999999995,3700.0,1100.0,90.0,17500.0,5.1000000000000005,24.0,,70.0,,100.0,10.0,10.0,240.0,190.0,5.2,130.0,120.0,80.0,2.9,2.1,,2200.0,6.2,180.0,140.0,24.0,,,10.0,17.0,1.7,1.9,8.0,2.8,3.0,6.7,5.4,2.9,3.8,200.0,150.0,220000.0,,280000.0,73000000.0,1.7,1.9,490.0,470.0,1500.0,520.0,100.0,1640500.0,210.0,3190.0,270000.0,5300000.0,7.6,22.5,5.8,5.4,6.3,,12.0,15.0,4.2,39.0,260.0,140.0,190.0,7.6,110.0,5650.0,2000000.0,360.0,,,50.0,60.0,150.0,70.0,60.0,40.0,40.0,130.0,950.0,110.0,350.0,30000.0,3.0,860000.0,50.0,,24.0,36.00000000000001,210.0,4.1000000000000005,,300.0,27.000000000000004,15.0,,5.8,,4000000.0,,550.0,34.5,25.0,7.8,,140000000.0,25000000.0,250000000.0,120.0,6.7,12.0,43000000.0,52000.0,1.8,6.1000000000000005,3.1,2.5,2.1,4.4
2012-03-17 08:25:00,,,,,,,610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700.0,,9130000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,,,,,,,,,,,,,,3800000.0,,,,,,,,,,,,,,,,,,,,,100000000.0,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,
2012-03-18 08:30:00,,570.0,250.0,550.0,530.0,550.0,,450.0,650.0,,340.0,710.0,70.0,70.0,510.0,1000.0,1000.0,180.0,70.0,90.0,290.0,300.0,270.0,300.0,1200.0,90.0,360.0,370.0,410.0,1000.0,3.0,9.799999999999999,5.7,140.0,120.0,130.0,60.0,22.000000000000004,1.5,50000000.0,2416000.0,500000.0,120.0,750.0,2800.0,34.0,5.5,20000000.0,,110.0,280.0,3700.0,70.0,150.0,130.0,120.0,189.0,250.0,270.0,380.0,100.0,1600.0,4.6,8600.0,17.0,180.0,100000000.0,396.0,23000000.0,860.0,,10000000.0,10.0,6.8999999999999995,7150.0,840.0,90.0,15250.0,5.1000000000000005,24.0,,240.0,,100.0,10.0,10.0,560.0,190.0,5.2,130.0,120.0,80.0,2.9,2.1,,2100.0,6.2,180.0,140.0,24.0,,,10.0,17.0,1.7,1.9,8.0,2.8,3.0,6.7,5.4,2.9,3.8,200.0,150.0,230000.0,,29000.0,78000000.0,1.7,1.9,490.0,470.0,1500.0,520.0,100.0,3476000.0,210.0,4960.0,28999.999999999996,5100000.0,7.6,47.0,5.8,5.4,6.3,,12.0,15.0,4.2,39.0,260.0,140.0,190.0,7.6,110.0,9000.0,2000000.0,360.0,,,50.0,60.0,150.0,70.0,60.0,40.0,40.0,950.0,950.0,110.0,350.0,67000.0,3.0,670000.0,50.0,,24.0,36.00000000000001,210.0,4.1000000000000005,,895.0,86.5,15.0,,3.1,,310000.0,,550.0,52.99999999999999,25.0,7.8,,120000000.0,21000000.0,270000000.0,120.0,6.7,12.0,42000000.0,55000.0,1.8,4.1000000000000005,3.1,2.5,2.1,4.4
2012-08-16 08:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000000.0,,,,,,,,,6550.0,,,,,8289999.999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240000000.0,,,,,,,,,,360.0,,21000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,,,,,21000000.0,,,,,,7850.0,,,,,,
2012-11-17 10:45:00,,,,,,,610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700.0,,9480000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,,,,,,,,,,,,,,1300000.0,,,,,,,,,,,,,,,,,,,,,200000000.0,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,
2012-11-18 08:43:00,100.0,1100.0,500.0,1100.0,1100.0,1100.0,,900.0,650.0,100.0,340.0,710.0,70.0,70.0,510.0,1000.0,1000.0,360.0,70.0,90.0,290.0,300.0,540.0,300.0,2400.0,90.0,720.0,370.0,820.0,1000.0,3.0,2.5,3.1,140.0,100.0,100.0,60.0,22.000000000000004,1.5,170000000.0,8506000.0,3300000.0,100.0,1385.0,7700.0,34.0,5.5,46000000.0,,110.0,100.0,7300.0,70.0,160.0,110.0,100.0,464.0,500.0,540.0,760.0,100.0,1100.0,4.6,38.0,17.0,520.0,510000000.0,1420.0,97400000.0,860.0,80.0,110000000.0,10.0,9.4,18840.0,220.0,230.0,51650.0,5.1000000000000005,24.0,,810.0,,100.0,10.0,10.0,480.0,380.0,5.2,100.0,120.0,80.0,2.9,2.1,,820.0,6.2,360.0,140.0,24.0,,,10.0,17.0,1.7,1.9,8.0,2.8,3.0,6.7,5.4,2.9,3.8,190.0,100.0,600000.0,,47000.0,366000000.0,1.7,1.9,980.0,940.0,2900.0,1000.0,100.0,12130000.0,420.0,21100.0,220000.0,29800000.0,7.6,62.0,5.8,5.4,6.3,,12.0,15.0,4.2,39.0,520.0,280.0,380.0,7.6,100.0,28000.0,3100000.0,720.0,,,50.0,60.0,150.0,70.0,60.0,40.0,40.0,40.0,1900.0,150.0,350.0,25000.0,3.0,2940000.0,50.0,,24.0,36.00000000000001,130.0,4.1000000000000005,,735.0,193.5,15.0,,3.1,,19000000.0,,550.0,194.5,25.0,7.8,,510000000.0,51000000.0,1200000000.0,120.0,6.7,12.0,260000000.0,271900.0,1.8,4.1000000000000005,3.1,2.5,2.1,4.4
2013-03-08 01:35:00,,,,,,,610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700.0,,9210000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,,,,,,,,,,,,,,2500000.0,,,,,,,,,,,,,,,,,,,,,100000000.0,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,
