Sample Date,1-Methylnaphthalene,1||2-Dichlorobenzene,1||2-Diphenylhydrazine,1||2||4-Trichlorobenzene,1||3-Dichlorobenzene,1||4-Dichlorobenzene,2-Chloroethyl vinyl ether,2-Chloronaphthalene,2-Chlorophenol,2-Methylnaphthalene,2-Methylphenol,2-Nitrophenol,2||4-D,2||4-DB,2||4-Dichlorophenol,2||4-Dimethylphenol,2||4-Dinitrophenol,2||4-Dinitrotoluene,2||4||5-T,2||4||5-TP,2||4||5-Trichlorophenol,2||4||6-Trichlorophenol,2||6-Dinitrotoluene,3-/4-Methylphenol,3||3'-Dichlorobenzidine,3||5-Dichlorobenzoic acid,4-Bromophenyl phenyl ether,4-Chloro-3-methylphenol,4-Chlorophenyl phenyl ether,4-Nitrophenol,4||4'-DDD,4||4'-DDE,4||4'-DDT,4||6-Dinitro-2-methylphenol,Acenaphthene,Acenaphthylene,Acifluorfen,Alachlor,Aldrin,Alkalinity as CaCO3,Aluminum,Ammonia as N,Anthracene,Antimony,Arsenic,Atrazine,Azinphos methyl,BOD,Barium,Bentazon,Benz(a)anthracene,Benzidine,Benzo(a)pyrene,Benzo(b)fluoranthene,Benzo(g||h||i)perylene,Benzo(k)fluoranthene,Beryllium,Bis(2-chloroethoxy)methane,Bis(2-chloroethyl)ether,Bis(2-chloroisopropyl)ether,Bis(2-ethylhexyl)adipate,Bis(2-ethylhexyl)phthalate,Bolstar,Bromacil,Butachlor,Butyl benzyl phthalate,COD,Cadmium,Calcium,Captan,Chlordane (technical),Chloride,Chloropropham,Chlorpyrifos,Chromium,Chromium VI,Chrysene,Copper,Coumaphos,Cyanazine,Cyanide,DCPA (Dacthal),DO,Dalapon,Demeton-O,Demeton-S,Di-n-butylphthalate,Di-n-octylphthalate,Diazinon,Dibenz(a||h)anthracene,Dicamba,Dichlorprop,Dichlorvos,Dieldrin,Diesel Range Organics,Diethyl phthalate,Dimethoate,Dimethyl phthalate,Dinoseb,Diphenamid,Dissolved Inorganic Carbon,Dissolved Organic Carbon,Disulfoton,EPTC,Endosulfan I,Endosulfan II,Endosulfan sulfate,Endrin,Endrin aldehyde,Ethoprop,Ethyl parathion,Fensulfothion,Fenthion,Fluoranthene,Fluorene,Fluoride,Gasoline Range Organics,Glyphosate,Hardness as CaCO3,Heptachlor,Heptachlor epoxide,Hexachlorobenzene,Hexachlorobutadiene,Hexachlorocyclopentadiene,Hexachloroethane,Indeno(1||2||3-cd)pyrene,Iron,Isophorone,Lead,MBAS,Magnesium,Malathion,Mercury,Merphos,Methoxychlor,Methyl parathion,Methyl tert-butyl ether (MTBE),Metolachlor,Metribuzin,Mevinphos,Molinate,N-Nitrosodi-N-propylamine,N-Nitrosodimethylamine,N-Nitrosodiphenylamine,Naled,Naphthalene,Nickel,Nitrate + Nitrite as N,Nitrobenzene,Oil Range Organics,Oil and Grease,PCB Aroclor 1016,PCB Aroclor 1221,PCB Aroclor 1232,PCB Aroclor 1242,PCB Aroclor 1248,PCB Aroclor 1254,PCB Aroclor 1260,Pentachlorophenol,Perchlorate,Phenanthrene,Phenol,Phenolics,Phorate,Phosphorus as P,Picloram,Potassium,Prometon,Prometryn,Pyrene,Ronnel (Fenchlorphos),Salinity,Selenium,Silver,Simazine,Sodium,Stirophos (Tetrachlorvinphos),Sulfate,TKN,TPH,Terbacil,Thallium,Thiobencarb,Tokuthion,Total Chlorine Residual,Total Dissolved Solids,Total Organic Carbon,Total Suspended Solids,Toxaphene,Trichloronate,Trithion,Volatile Suspended Solids,Zinc,alpha-BHC,alpha-Chlordane,beta-BHC,delta-BHC,gamma-BHC (Lindane),gamma-Chlordane
2011-10-05 09:15:00,,,,,,,6100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700.0,,4930000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900.0,,,,,,,,,,,,,,1300000.0,,,,,,,,,,,,,,,,,,,,,500000000.0,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,
2011-10-06 08:30:00,,5700.0,2500.0,5500.0,5300.0,5500.0,,4500.0,3200.0,,1700.0,3600.0,70.0,70.0,2600.0,5000.0,5000.0,1800.0,70.0,90.0,1400.0,1500.0,2700.0,1500.0,12000.0,90.0,3600.0,1800.0,4100.0,5000.0,3.0,6.6,4.3,700.0,600.0,650.0,60.0,22.000000000000004,1.5,84000000.0,1864000.0,1000000.0,600.0,2100.0,3350.0,34.0,5.5,12000000.0,,110.0,1400.0,37000.0,70.0,750.0,650.0,600.0,144.0,2500.0,2700.0,3800.0,100.0,2600.0,4.6,38.0,17.0,1800.0,130000000.0,1131.0,140000000.0,860.0,80.0,25000000.0,10.0,6.8999999999999995,5865.0,460.0,450.0,43050.0,5.1000000000000005,24.0,,70.0,,100.0,10.0,10.0,2400.0,1900.0,5.2,650.0,120.0,80.0,2.9,2.1,,6100.0,6.2,1800.0,140.0,24.0,,,10.0,17.0,1.7,1.9,8.0,2.8,3.0,6.7,5.4,2.9,3.8,1000.0,750.0,230000.0,,5100.0,420000000.0,1.7,1.9,4900.0,4700.0,15000.0,5200.0,500.0,4005000.0,2100.0,15965.0,410000.0,18000000.0,7.6,39.0,5.8,5.4,6.3,,12.0,15.0,4.2,39.0,2600.0,1400.0,1900.0,7.6,550.0,14100.0,1600000.0,3600.0,,,50.0,60.0,150.0,70.0,60.0,40.0,40.0,40.0,1700.0,550.0,1800.0,68000.0,3.0,730000.0,50.0,,24.0,36.00000000000001,1000.0,4.1000000000000005,,3900.0,168.5,15.0,,3.1,,1700000.0,,550.0,59.5,25.0,7.8,,300000000.0,16000000.0,460000000.0,120.0,6.7,12.0,78000000.0,145000.0,1.8,4.1000000000000005,3.1,2.5,2.1,4.4
2012-01-21 04:30:00,,,,,,,610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700.0,,8690000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,,,,,,,,,,,,,,1600000.0,,,,,,,,,,,,,,,,,,,,,200000000.0,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,
2012-01-21 11:00:00,,570.0,250.0,550.0,530.0,550.0,,450.0,650.0,,340.0,710.0,70.0,70.0,510.0,1000.0,1000.0,180.0,70.0,90.0,290.0,300.0,270.0,300.0,1200.0,90.0,360.0,370.0,410.0,1000.0,3.0,7.9,3.1,140.0,120.0,130.0,60.0,22.000000000000004,1.5,87000000.0,493000.0,540000.0,120.0,850.0,1445.0,34.0,5.5,7900000.0,,110.0,280.0,3700.0,70.0,150.0,130.0,120.0,88.00000000000001,250.0,270.0,380.0,100.0,2800.0,4.6,38.0,17.0,180.0,58000000.0,230.0,47000000.0,860.0,80.0,20000000.0,10.0,6.8999999999999995,1750.0,410.0,90.0,10650.0,5.1000000000000005,24.0,,70.0,,100.0,10.0,10.0,240.0,190.0,5.2,130.0,120.0,80.0,2.9,2.1,,4000.0,6.2,180.0,140.0,24.0,,,10.0,17.0,1.7,1.9,8.0,2.8,3.0,6.7,5.4,2.9,3.8,200.0,150.0,180000.0,,7800.0,160000000.0,1.7,1.9,490.0,470.0,1500.0,520.0,100.0,1020000.0,210.0,2620.0,130000.0,11000000.0,13.999999999999998,13.0,5.8,5.4,6.3,,12.0,15.0,4.2,39.0,260.0,140.0,190.0,7.6,110.0,3300.0,980000.0,360.0,,,50.0,60.0,150.0,70.0,60.0,40.0,40.0,40.0,950.0,110.0,350.0,21000.0,3.0,275000.0,50.0,,24.0,36.00000000000001,210.0,4.1000000000000005,,2150.0,27.000000000000004,15.0,,3.1,,1900000.0,,550.0,14.5,25.0,7.8,,210000000.0,9600000.0,150000000.0,120.0,6.7,12.0,37000000.0,38500.0,1.8,4.1000000000000005,3.1,2.5,2.1,4.4
2012-03-17 07:50:00,,,,,,,610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700.0,,8189999.999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,,,,,,,,,,,,,,1300000.0,,,,,,,,,,,,,,,,,,,,,100000000.0,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,
2012-03-18 09:16:00,,570.0,250.0,550.0,530.0,550.0,,450.0,650.0,,340.0,710.0,70.0,70.0,510.0,1000.0,1000.0,180.0,70.0,90.0,290.0,300.0,270.0,300.0,1200.0,90.0,360.0,370.0,410.0,1000.0,3.0,2.5,3.1,140.0,120.0,130.0,60.0,22.000000000000004,1.5,120000000.0,605500.0,370000.0,120.0,835.0,1850.0,34.0,5.5,11000000.0,,110.0,280.0,3700.0,70.0,150.0,130.0,120.0,88.00000000000001,250.0,270.0,380.0,100.0,1100.0,4.6,38.0,17.0,180.0,53000000.0,205.0,110000000.0,860.0,,76000000.0,10.0,6.8999999999999995,2350.0,770.0,90.0,9050.0,5.1000000000000005,24.0,,70.0,,100.0,10.0,10.0,240.0,190.0,5.2,130.0,120.0,80.0,2.9,2.1,,4700.0,53.0,180.0,140.0,24.0,,,10.0,17.0,1.7,1.9,8.0,2.8,3.0,6.7,5.4,2.9,3.8,200.0,150.0,300000.0,,6000.0,440000000.0,1.7,1.9,490.0,470.0,1500.0,520.0,100.0,1124500.0,210.0,3175.0,89000.00000000001,39000000.0,7.6,35.5,5.8,5.4,6.3,,12.0,15.0,4.2,39.0,260.0,140.0,190.0,7.6,110.0,5150.0,3300000.0,360.0,,,50.0,60.0,150.0,70.0,60.0,40.0,40.0,130.0,950.0,110.0,350.0,21000.0,3.0,235000.0,50.0,,24.0,36.00000000000001,210.0,4.1000000000000005,,13000.0,27.000000000000004,15.0,,3.1,,1300000.0,,550.0,17.0,25.0,7.8,,600000000.0,9700000.0,260000000.0,120.0,6.7,12.0,46000000.0,30000.0,1.8,4.1000000000000005,3.1,2.5,2.1,4.4
2012-05-24 09:10:00,,570.0,250.0,550.0,530.0,550.0,610.0,450.0,650.0,,340.0,710.0,70.0,70.0,510.0,1000.0,1000.0,180.0,70.0,90.0,290.0,300.0,270.0,300.0,1200.0,90.0,360.0,370.0,410.0,1000.0,3.0,2.5,3.1,140.0,120.0,130.0,60.0,22.000000000000004,1.5,270000000.0,4550.0,63000.0,120.0,165.0,1250.0,34.0,5.5,1300000.0,,110.0,280.0,3700.0,70.0,150.0,130.0,120.0,88.00000000000001,250.0,270.0,380.0,100.0,1100.0,4.6,38.0,17.0,180.0,7700000.0,170.0,300000000.0,860.0,80.0,180000000.0,10.0,6.8999999999999995,1800.0,1400.0,90.0,1400.0,5.1000000000000005,24.0,3900.0,70.0,8390000.0,100.0,10.0,10.0,240.0,190.0,5.2,130.0,120.0,80.0,2.9,2.1,,7200.0,55.99999999999999,180.0,140.0,24.0,,,10.0,17.0,1.7,1.9,8.0,2.8,3.0,6.7,5.4,2.9,3.8,200.0,150.0,550000.0,,1800.0,1200000000.0,1.7,1.9,490.0,470.0,1500.0,520.0,100.0,13050.0,210.0,61.5,19000.0,100000000.0,7.6,11.5,5.8,5.4,6.3,190.0,12.0,15.0,4.2,39.0,260.0,140.0,190.0,7.6,110.0,6950.0,50000.0,360.0,,1300000.0,50.0,60.0,150.0,70.0,60.0,40.0,40.0,40.0,950.0,110.0,350.0,12000.0,3.0,10850.0,50.0,,24.0,36.00000000000001,210.0,4.1000000000000005,1500000000.0,39000.0,27.000000000000004,15.0,,3.1,,74000.00000000001,1900000.0,550.0,9.000000000000002,25.0,7.8,,1500000000.0,2600000.0,7000000.0,120.0,6.7,12.0,3100000.0,1800.0,1.8,4.1000000000000005,3.1,2.5,2.1,4.4
2012-08-16 08:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000000.0,,,,,,,,,435.0,,,,,9360000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200000000.0,,,,,,,,,,45.0,,110000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,,,,,2500000.0,,,,,,1550.0,,,,,,
2012-11-17 11:45:00,,,,,,,610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700.0,,9190000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,,,,,,,,,,,,,,1800000.0,,,,,,,,,,,,,,,,,,,,,300000000.0,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,
2012-11-18 09:17:00,100.0,1100.0,500.0,1100.0,1100.0,1100.0,,900.0,650.0,100.0,340.0,710.0,70.0,70.0,510.0,1000.0,1200.0,360.0,70.0,90.0,290.0,300.0,540.0,300.0,2400.0,90.0,720.0,370.0,820.0,1000.0,3.0,2.5,3.1,140.0,100.0,100.0,60.0,22.000000000000004,1.5,140000000.0,1602700.0,1400000.0,100.0,1800.0,3650.0,34.0,5.5,29000000.0,,110.0,100.0,7300.0,70.0,100.0,100.0,100.0,119.0,500.0,540.0,760.0,100.0,1300.0,4.6,38.0,17.0,580.0,200000000.0,810.0,142000000.0,860.0,80.0,52000000.0,10.0,6.8999999999999995,5150.0,520.0,100.0,28400.0,5.1000000000000005,24.0,,70.0,,100.0,10.0,10.0,480.0,380.0,5.2,100.0,120.0,80.0,2.9,2.1,,3300.0,6.2,360.0,140.0,24.0,,,10.0,17.0,1.7,1.9,8.0,2.8,3.0,6.7,5.4,2.9,3.8,100.0,100.0,390000.0,,1800.0,488000000.0,1.7,1.9,980.0,940.0,2900.0,1000.0,100.0,3268500.0,420.0,8055.0,210000.0,32299999.999999996,39.0,10.95,5.8,5.4,6.3,,12.0,15.0,4.2,39.0,520.0,280.0,380.0,7.6,100.0,13200.0,3600000.0,720.0,,,50.0,60.0,150.0,70.0,60.0,40.0,40.0,40.0,1200.0,100.0,350.0,23000.0,3.0,670000.0,50.0,,24.0,36.00000000000001,100.0,4.1000000000000005,,8800.0,108.5,15.0,,3.1,,4900000.0,,550.0,49.5,25.0,7.8,,650000000.0,23000000.0,430000000.0,120.0,6.7,12.0,91000000.0,102500.0,1.8,4.1000000000000005,3.1,2.5,2.1,4.4
