24 Hour Total Ending At,Rainfall (in),Code,Quality Code,Publish
10/01/2009 08:00,0,,1,A
10/02/2009 08:00,0,,1,A
10/03/2009 08:00,0,,1,A
10/04/2009 08:00,0,,1,A
10/05/2009 08:00,0,,1,A
10/06/2009 08:00,0,,1,A
10/07/2009 08:00,0,,1,A
10/08/2009 08:00,0,,1,A
10/09/2009 08:00,0,,1,A
10/10/2009 08:00,0,,1,A
10/11/2009 08:00,0,,1,A
10/12/2009 08:00,0,,1,A
10/13/2009 08:00,0.01,,1,A
10/14/2009 08:00,0.84,,1,A
10/15/2009 08:00,0.24,,1,A
10/16/2009 08:00,0,,1,A
10/17/2009 08:00,0,,1,A
10/18/2009 08:00,0,,1,A
10/19/2009 08:00,0,,1,A
10/20/2009 08:00,0,,1,A
10/21/2009 08:00,0,,1,A
10/22/2009 08:00,0,,1,A
10/23/2009 08:00,0,,1,A
10/24/2009 08:00,0,,1,A
10/25/2009 08:00,0,,1,A
10/26/2009 08:00,0,,1,A
10/27/2009 08:00,0,,1,A
10/28/2009 08:00,0,,1,A
10/29/2009 08:00,0,,1,A
10/30/2009 08:00,0,,1,A
10/31/2009 08:00,0,,1,A
11/01/2009 08:00,0,,1,A
11/02/2009 08:00,0,,1,A
11/03/2009 08:00,0,,1,A
11/04/2009 08:00,0,,1,A
11/05/2009 08:00,0,,1,A
11/06/2009 08:00,0,,1,A
11/07/2009 08:00,0,,1,A
11/08/2009 08:00,0,,1,A
11/09/2009 08:00,0,,1,A
11/10/2009 08:00,0,,1,A
11/11/2009 08:00,0,,1,A
11/12/2009 08:00,0,,1,A
11/13/2009 08:00,0,,1,A
11/14/2009 08:00,0,,1,A
11/15/2009 08:00,0,,1,A
11/16/2009 08:00,0,,1,A
11/17/2009 08:00,0,,1,A
11/18/2009 08:00,0,,1,A
11/19/2009 08:00,0,,1,A
11/20/2009 08:00,0,,1,A
11/21/2009 08:00,0,,1,A
11/22/2009 08:00,0,,1,A
11/23/2009 08:00,0,,1,A
11/24/2009 08:00,0,,1,A
11/25/2009 08:00,0,,1,A
11/26/2009 08:00,0,,1,A
11/27/2009 08:00,0,,1,A
11/28/2009 08:00,0,,1,A
11/29/2009 08:00,0,,1,A
11/30/2009 08:00,0,,1,A
12/01/2009 08:00,0,,1,A
12/02/2009 08:00,0,,1,A
12/03/2009 08:00,0,,1,A
12/04/2009 08:00,0,,1,A
12/05/2009 08:00,0,,1,A
12/06/2009 08:00,0,,1,A
12/07/2009 08:00,0.23,,1,A
12/08/2009 08:00,0.87,,1,A
12/09/2009 08:00,0,,1,A
12/10/2009 08:00,0,,1,A
12/11/2009 08:00,0.68,,1,A
12/12/2009 08:00,0.27,,1,A
12/13/2009 08:00,0.47,,1,A
12/14/2009 08:00,0,,1,A
12/15/2009 08:00,0.01,,1,A
12/16/2009 08:00,0,,1,A
12/17/2009 08:00,0,,1,A
12/18/2009 08:00,0,,1,A
12/19/2009 08:00,0,,1,A
12/20/2009 08:00,0,,1,A
12/21/2009 08:00,0,,1,A
12/22/2009 08:00,0,,1,A
12/23/2009 08:00,0,,1,A
12/24/2009 08:00,0,,1,A
12/25/2009 08:00,0,,1,A
12/26/2009 08:00,0,,1,A
12/27/2009 08:00,0,,1,A
12/28/2009 08:00,0,,1,A
12/29/2009 08:00,0,,1,A
