Exported from VCWPD Hydrologic Data Server
Requested: 04/23/2020 23:30:48
Requested daily rainfall totals for station: 017C
Data Period: 2011-10-01 00:00 to 2012-10-01 00:00
Site Id: 017C
Station Name: Port Hueneme - Oxnard Sewer Plant
Latitude: 34° 8' 30.1" N
Longitude: 119° 11' 11.9" W
Elevation (ft): 10
Station Type: Recording Precip Gage
VCWPD Zone: Zone 2 (Santa Clara River)
NCDC Station Id: None

24 Hour Total Ending At,Rainfall (in),Code,Quality Code,Publish
10/01/2011 08:00,0,,1,A
10/02/2011 08:00,0,,1,A
10/03/2011 08:00,0,,1,A
10/04/2011 08:00,0,,1,A
10/05/2011 08:00,0.43,,1,A
10/06/2011 08:00,0.17,,1,A
10/07/2011 08:00,0,,1,A
10/08/2011 08:00,0,,1,A
10/09/2011 08:00,0,,1,A
10/10/2011 08:00,0,,1,A
10/11/2011 08:00,0,,1,A
10/12/2011 08:00,0,,1,A
10/13/2011 08:00,0,,1,A
10/14/2011 08:00,0,,1,A
10/15/2011 08:00,0,,10,A
10/16/2011 08:00,0,,10,A
10/17/2011 08:00,0.013,,10,A
10/18/2011 08:00,0,,10,A
10/19/2011 08:00,0,,10,A
10/20/2011 08:00,0,,10,A
10/21/2011 08:00,0,,10,A
10/22/2011 08:00,0,,10,A
10/23/2011 08:00,0,,10,A
10/24/2011 08:00,0,,10,A
10/25/2011 08:00,0,,10,A
10/26/2011 08:00,0,,10,A
10/27/2011 08:00,0,,10,A
10/28/2011 08:00,0,,10,A
10/29/2011 08:00,0,,10,A
10/30/2011 08:00,0,,10,A
10/31/2011 08:00,0,,10,A
11/01/2011 08:00,0,,10,A
11/02/2011 08:00,0,,10,A
11/03/2011 08:00,0,,10,A
11/04/2011 08:00,0,,10,A
11/05/2011 08:00,0.013,,10,A
11/06/2011 08:00,0.269,,10,A
11/07/2011 08:00,0,,10,A
11/08/2011 08:00,0,,10,A
11/09/2011 08:00,0,,10,A
11/10/2011 08:00,0,,10,A
11/11/2011 08:00,0,,10,A
11/12/2011 08:00,0.705,,10,A
11/13/2011 08:00,0.013,,10,A
11/14/2011 08:00,0,,10,A
11/15/2011 08:00,0,,10,A
11/16/2011 08:00,0,,10,A
11/17/2011 08:00,0,,10,A
11/18/2011 08:00,0,,10,A
11/19/2011 08:00,0,,10,A
11/20/2011 08:00,0.09,,10,A
11/21/2011 08:00,1,,10,A
11/22/2011 08:00,0.013,,10,A
11/23/2011 08:00,0,,10,A
11/24/2011 08:00,0,,10,A
11/25/2011 08:00,0,,10,A
11/26/2011 08:00,0,,10,A
11/27/2011 08:00,0,,10,A
11/28/2011 08:00,0,,10,A
11/29/2011 08:00,0,,10,A
11/30/2011 08:00,0,,10,A
12/01/2011 08:00,0,,10,A
12/02/2011 08:00,0,,10,A
12/03/2011 08:00,0,,10,A
12/04/2011 08:00,0,,10,A
12/05/2011 08:00,0,,10,A
12/06/2011 08:00,0,,10,A
12/07/2011 08:00,0,,10,A
12/08/2011 08:00,0,,10,A
12/09/2011 08:00,0,,10,A
12/10/2011 08:00,0,,10,A
12/11/2011 08:00,0,,10,A
12/12/2011 08:00,0.68,,10,A
12/13/2011 08:00,0.103,,10,A
12/14/2011 08:00,0,,10,A
12/15/2011 08:00,0,,10,A
12/16/2011 08:00,0,,10,A
12/17/2011 08:00,0,,10,A
12/18/2011 08:00,0,,10,A
12/19/2011 08:00,0,,10,A
12/20/2011 08:00,0,,10,A
