Exported from VCWPD Hydrologic Data Server
Requested: 04/24/2020 00:17:19
Requested daily rainfall totals for station: 508
Data Period: 2017-10-01 00:00 to 2018-10-01 00:00
Site Id: 508
Station Name: Moorpark - Home Acres ALERT (Type B)
Latitude: 34° 16' 16.6" N
Longitude: 118° 55' 29.4" W
Elevation (ft): 400
Station Type: Non-Standard Recorder
VCWPD Zone: Zone 3 (Calleguas Creek)
NCDC Station Id: None

24 Hour Total Ending At,Rainfall (in),Code,Quality Code,Publish
10/01/2017 08:00,0,,2,P
10/02/2017 08:00,0,,2,P
10/03/2017 08:00,0,,2,P
10/04/2017 08:00,0,,2,P
10/05/2017 08:00,0,,2,P
10/06/2017 08:00,0,,2,P
10/07/2017 08:00,0,,2,P
10/08/2017 08:00,0,,2,P
10/09/2017 08:00,0,,2,P
10/10/2017 08:00,0,,2,P
10/11/2017 08:00,0,,2,P
10/12/2017 08:00,0,,2,P
10/13/2017 08:00,0,,2,P
10/14/2017 08:00,0,,2,P
10/15/2017 08:00,0,,2,P
10/16/2017 08:00,0,,2,P
10/17/2017 08:00,0,,2,P
10/18/2017 08:00,0,,2,P
10/19/2017 08:00,0,,2,P
10/20/2017 08:00,0,,2,P
10/21/2017 08:00,0,,2,P
10/22/2017 08:00,0,,2,P
10/23/2017 08:00,0,,2,P
10/24/2017 08:00,0,,2,P
10/25/2017 08:00,0,,2,P
10/26/2017 08:00,0,,2,P
10/27/2017 08:00,0,,2,P
10/28/2017 08:00,0,,2,P
10/29/2017 08:00,0,,2,P
10/30/2017 08:00,0,,2,P
10/31/2017 08:00,0,,2,P
11/01/2017 08:00,0,,2,P
11/02/2017 08:00,0,,2,P
11/03/2017 08:00,0,,2,P
11/04/2017 08:00,0,,2,P
11/05/2017 08:00,0,,2,P
11/06/2017 08:00,0,,2,P
11/07/2017 08:00,0,,2,P
11/08/2017 08:00,0,,2,P
11/09/2017 08:00,0,,2,P
11/10/2017 08:00,0,,2,P
11/11/2017 08:00,0,,2,P
11/12/2017 08:00,0,,2,P
11/13/2017 08:00,0,,2,P
11/14/2017 08:00,0,,2,P
11/15/2017 08:00,0,,2,P
11/16/2017 08:00,0,,2,P
11/17/2017 08:00,0.039,,2,P
11/18/2017 08:00,0,,2,P
11/19/2017 08:00,0,,2,P
11/20/2017 08:00,0,,2,P
11/21/2017 08:00,0,,2,P
11/22/2017 08:00,0,,2,P
11/23/2017 08:00,0,,2,P
11/24/2017 08:00,0,,2,P
11/25/2017 08:00,0,,2,P
11/26/2017 08:00,0,,2,P
11/27/2017 08:00,0,,2,P
11/28/2017 08:00,0,,2,P
11/29/2017 08:00,0,,2,P
11/30/2017 08:00,0,,2,P
12/01/2017 08:00,0,,2,P
12/02/2017 08:00,0,,2,P
12/03/2017 08:00,0,,2,P
12/04/2017 08:00,0,,2,P
12/05/2017 08:00,0,,2,P
12/06/2017 08:00,0,,2,P
12/07/2017 08:00,0,,2,P
12/08/2017 08:00,0,,2,P
12/09/2017 08:00,0,,2,P
12/10/2017 08:00,0,,2,P
