Exported from VCWPD Hydrologic Data Server
Requested: 04/24/2020 00:26:28
Requested daily rainfall totals for station: 506
Data Period: 2018-10-01 00:00 to 2019-10-01 00:00
Site Id: 506
Station Name: Wood Ranch - Sycamore Canyon Dam (Type B)
Latitude: 34° 15' 15.9" N
Longitude: 118° 47' 58.1" W
Elevation (ft): 810
Station Type: Non-Standard Recorder
VCWPD Zone: Zone 3 (Calleguas Creek)
NCDC Station Id: None

24 Hour Total Ending At,Rainfall (in),Code,Quality Code,Publish
10/01/2018 08:00,0,,2,P
10/02/2018 08:00,0,,2,P
10/03/2018 08:00,0,,2,P
10/04/2018 08:00,0,,2,P
10/05/2018 08:00,0,,2,P
10/06/2018 08:00,0,,2,P
10/07/2018 08:00,0,,2,P
10/08/2018 08:00,0,,2,P
10/09/2018 08:00,0,,2,P
10/10/2018 08:00,0,,2,P
10/11/2018 08:00,0,,2,P
10/12/2018 08:00,0,,2,P
10/13/2018 08:00,0.315,,2,P
10/14/2018 08:00,0,,2,P
10/15/2018 08:00,0,,2,P
10/16/2018 08:00,0,,2,P
10/17/2018 08:00,0,,2,P
10/18/2018 08:00,0,,2,P
10/19/2018 08:00,0,,2,P
10/20/2018 08:00,0,,2,P
10/21/2018 08:00,0,,2,P
10/22/2018 08:00,0,,2,P
10/23/2018 08:00,0,,2,P
10/24/2018 08:00,0,,2,P
10/25/2018 08:00,0,,2,P
10/26/2018 08:00,0,,2,P
10/27/2018 08:00,0,,2,P
10/28/2018 08:00,0,,2,P
10/29/2018 08:00,0,,2,P
10/30/2018 08:00,0,,2,P
10/31/2018 08:00,0,,2,P
11/01/2018 08:00,0,,2,P
11/02/2018 08:00,0,,2,P
11/03/2018 08:00,0,,2,P
11/04/2018 08:00,0,,2,P
11/05/2018 08:00,0,,2,P
11/06/2018 08:00,0,,2,P
11/07/2018 08:00,0,,2,P
11/08/2018 08:00,0,,2,P
11/09/2018 08:00,0,,2,P
11/10/2018 08:00,0,,2,P
11/11/2018 08:00,0,,2,P
11/12/2018 08:00,0,,2,P
11/13/2018 08:00,0,,2,P
11/14/2018 08:00,0,,2,P
11/15/2018 08:00,0,,2,P
11/16/2018 08:00,0,,2,P
11/17/2018 08:00,0,,2,P
11/18/2018 08:00,0,,2,P
11/19/2018 08:00,0,,2,P
11/20/2018 08:00,0,,2,P
11/21/2018 08:00,0,,2,P
11/22/2018 08:00,0.236,,2,P
11/23/2018 08:00,0,,2,P
11/24/2018 08:00,0,,2,P
11/25/2018 08:00,0,,2,P
11/26/2018 08:00,0,,2,P
11/27/2018 08:00,0,,2,P
11/28/2018 08:00,0,,2,P
11/29/2018 08:00,0.473,,2,P
11/30/2018 08:00,0.275,,2,P
12/01/2018 08:00,0,,2,P
12/02/2018 08:00,0,,2,P
12/03/2018 08:00,0,,2,P
12/04/2018 08:00,0,,2,P
12/05/2018 08:00,0,,2,P
12/06/2018 08:00,1.063,,2,P
12/07/2018 08:00,0.591,,2,P
12/08/2018 08:00,0,,2,P
12/09/2018 08:00,0,,2,P
12/10/2018 08:00,0,,2,P
12/11/2018 08:00,0,,2,P
12/12/2018 08:00,0,,2,P
12/13/2018 08:00,0,,2,P
12/14/2018 08:00,0,,2,P
12/15/2018 08:00,0,,2,P
12/16/2018 08:00,0,,2,P
12/17/2018 08:00,0,,2,P
12/18/2018 08:00,0,,2,P
12/19/2018 08:00,0,,2,P
12/20/2018 08:00,0,,2,P
12/21/2018 08:00,0,,2,P
12/22/2018 08:00,0,,2,P
12/23/2018 08:00,0,,2,P
12/24/2018 08:00,0,,2,P
12/25/2018 08:00,0,,2,P
12/26/2018 08:00,0,,2,P
12/27/2018 08:00,0,,2,P
12/28/2018 08:00,0,,2,P
12/29/2018 08:00,0,,2,P
12/30/2018 08:00,0,,2,P
12/31/2018 08:00,0,,2,P
01/01/2019 08:00,0,,2,P
01/02/2019 08:00,0,,2,P
01/03/2019 08:00,0,,2,P
01/04/2019 08:00,0,,2,P
01/05/2019 08:00,0,,2,P
01/06/2019 08:00,0.708,,2,P
01/07/2019 08:00,0.315,,2,P
01/08/2019 08:00,0,,2,P
01/09/2019 08:00,0,,2,P
01/10/2019 08:00,0,,2,P
01/11/2019 08:00,0,,2,P
01/12/2019 08:00,0.788,,2,P
01/13/2019 08:00,0.118,,2,P
01/14/2019 08:00,0.275,,2,P
01/15/2019 08:00,0.985,,2,P
01/16/2019 08:00,0.197,,2,P
