Year,Month,Day,Temperature Max (F),Temperature Min (F),Rainfall (in)
2017 10 01 85 48 0.00
2017 10 02 82 53 0.00
2017 10 03 82 39 0.00
2017 10 04 81 39 0.00
2017 10 05 84 38 0.00
2017 10 06 91 41 0.00
2017 10 07 89 40 0.00
2017 10 08 89 48 0.00
2017 10 09 0.00
2017 10 10 0.00
2017 10 11 76 36 0.00
2017 10 12 77 40 0.00
2017 10 13 78 38 0.00
2017 10 14 83 42 0.00
2017 10 15 86 37 0.00
2017 10 16 87 41 0.00
2017 10 17 86 44 0.00
2017 10 18 75 41 0.00
2017 10 19 63 49 0.21
2017 10 20 64 41 0.00
2017 10 21 73 37 0.00
2017 10 22 80 42 0.00
2017 10 23 89 48 0.00
2017 10 24 93 48 0.00
2017 10 25 93 48 0.00
2017 10 26 92 47 0.00
2017 10 27 91 45 0.00
2017 10 28 82 42 0.00
2017 10 29 71 49 0.00
2017 10 30 67 44 0.00
2017 10 31 70 44 0.00
2017 11 01 71 38 0.00
2017 11 02 67 41 0.00
2017 11 03 63 51 0.34
2017 11 04 61 36 0.11
2017 11 05 63 30 T
2017 11 06 64 40 0.00
2017 11 07 68 35 0.00
2017 11 08 60 41 1.02
2017 11 09 66 51 0.11
2017 11 10 64 52 0.39
2017 11 11 64 48 0.00
2017 11 12 64 48 0.01
2017 11 13 61 50 0.85
2017 11 14 64 45 0.00
2017 11 15 58 49 1.53
2017 11 16 58 51 0.33
2017 11 17 63 36 T
2017 11 18 65 34 0.00
2017 11 19 62 34 0.01
2017 11 20 56 50 0.22
2017 11 21 68 49 0.00
2017 11 22 65 49 0.00
2017 11 23 65 50 0.01
2017 11 24 66 52 0.00
2017 11 25 70 49 T
2017 11 26 63 49 0.96
2017 11 27 62 41 0.13
2017 11 28 61 36 0.00
2017 11 29 64 35 0.00
2017 11 30 65 36 0.00
